SEZIONE,collegio_camera,forza_italia,paese_nuovo,alleanza_nazionale,il_girasole,nuovo_psi,rifondazione_comunista,lega_nord,democrazia_europea,lista_pannella_bonino,partito_dei_comunisti_italiani,c_c_d_c_d_u,democratici_di_sinistra,abolizione_scorporo,la_margherita,lista_di_pietro,TOTALE
233,14,120,0,75,13,2,36,8,1,17,10,3,277,0,82,20,778.0
242,14,120,2,74,15,5,43,1,6,15,10,9,329,0,97,24,864.0
246,14,139,0,66,11,5,30,16,8,13,16,8,309,0,67,38,839.99
254,14,88,0,56,12,5,24,10,9,12,12,15,303,0,126,19,805.0000000000001
255,14,114,0,62,15,9,44,6,1,14,13,0,305,0,78,17,791.99
258,14,144,0,61,11,4,15,5,4,18,12,10,239,0,93,19,749.0
263,13,105,1,79,11,6,48,3,13,11,13,23,195,0,119,22,761.98
264,13,109,0,86,20,2,33,4,6,15,15,4,184,0,107,13,710.9899999999999
266,13,121,0,72,23,10,45,11,9,14,11,8,204,0,89,23,753.01
269,13,140,0,71,17,10,43,9,8,18,8,9,214,0,107,27,793.9800000000001
273,13,106,1,76,7,4,44,8,6,18,20,12,178,0,100,29,722.0
275,13,116,1,81,16,6,38,8,12,13,12,10,246,1,113,19,805.0
276,13,104,1,73,23,7,45,9,4,13,12,10,244,0,99,30,787.0000000000001
280,13,97,0,53,16,7,48,7,10,20,3,10,224,1,82,25,716.02
281,13,123,0,94,11,2,37,1,8,13,7,13,222,0,98,18,759.9999999999999
283,13,85,0,70,9,5,41,16,9,17,15,6,263,1,107,22,778.99
286,13,103,0,67,11,4,46,4,10,12,7,7,249,0,104,20,756.9899999999999
288,13,120,0,62,11,10,48,10,3,15,7,9,232,0,93,16,749.0100000000001
289,13,110,1,53,16,7,51,16,2,19,22,10,272,0,86,21,798.9999999999999
293,13,104,1,62,13,8,27,6,6,12,15,5,300,0,83,20,775.0200000000001
298,14,105,0,45,16,6,28,9,6,15,9,15,315,0,93,23,799.02
300,14,107,1,56,16,7,38,6,4,12,13,2,308,0,65,12,760.99
301,14,118,0,43,25,9,46,7,10,16,15,11,331,0,92,28,865.0000000000001
306,14,94,0,47,7,4,32,6,2,16,21,4,375,0,91,18,831.01
309,14,89,0,51,10,8,24,7,3,9,19,8,363,0,79,27,810.9900000000001
311,14,100,0,32,12,8,30,2,5,13,8,12,386,0,87,19,827.9899999999998
312,14,68,0,64,9,6,31,2,3,10,9,4,387,0,99,14,819.99
313,14,126,0,45,10,10,17,2,14,11,5,16,306,0,100,20,795.9999999999999
314,14,128,0,79,13,3,34,3,11,10,9,22,279,0,127,37,868.98
315,14,118,0,63,12,6,41,6,1,12,13,7,263,0,91,36,783.0
318,14,104,1,73,18,4,48,12,3,13,5,8,277,1,72,20,772.9899999999998
321,14,83,0,57,10,4,39,6,6,10,12,2,271,1,75,21,711.0199999999999
322,14,101,0,55,16,7,43,9,2,16,13,15,255,0,95,24,765.01
324,14,104,3,58,17,5,25,13,6,25,8,11,243,0,106,20,758.0100000000001
327,14,99,0,72,14,9,49,6,5,27,15,12,233,0,80,22,757.01
333,13,92,0,38,10,5,40,5,2,9,10,5,272,1,56,13,671.02
334,13,111,1,72,17,7,36,3,13,11,13,10,266,2,87,22,784.0099999999999
336,13,116,0,94,16,5,23,11,10,13,7,14,270,0,115,20,827.01
337,13,98,1,63,14,2,56,7,4,16,12,5,265,0,100,22,778.0
338,13,116,0,69,7,3,27,9,7,8,13,7,178,0,75,15,646.9899999999999
343,13,99,1,50,17,8,66,5,5,20,6,2,292,0,66,21,771.0000000000001
345,13,111,0,57,12,7,43,4,4,20,12,9,227,0,110,27,756.0000000000001
351,13,105,0,75,12,5,39,7,5,11,10,8,257,1,129,21,798.0100000000001
354,13,131,1,80,9,6,24,3,11,12,10,12,256,0,101,22,790.9899999999999
355,13,137,1,83,18,5,34,8,8,12,8,19,185,0,116,26,773.01
357,13,126,0,86,20,6,27,6,13,11,13,14,245,0,104,26,810.01
358,13,125,0,52,17,8,49,7,3,11,7,6,217,0,93,29,736.98
360,13,118,1,56,14,5,56,7,6,13,11,5,238,0,93,24,760.0
361,13,82,0,38,11,6,31,6,5,13,17,4,336,0,99,37,798.0099999999999
364,13,97,1,53,13,7,56,3,2,12,10,7,311,0,87,20,792.0
367,12,136,0,89,16,15,29,1,22,16,7,18,200,0,127,25,813.0099999999999
371,12,166,1,110,16,3,28,6,8,21,6,6,166,0,122,32,803.0
374,12,136,0,90,16,4,33,9,7,17,5,9,217,0,89,24,768.0000000000001
375,12,135,1,85,12,7,43,7,10,17,14,13,174,0,113,20,763.02
377,12,106,0,64,12,7,32,10,3,11,19,13,263,0,113,19,784.0100000000001
379,12,98,0,64,14,9,29,12,2,24,8,19,250,1,106,32,780.0099999999999
380,12,125,1,72,22,3,24,10,4,15,14,11,252,0,103,19,786.99
395,12,134,0,68,10,3,36,10,9,23,5,13,231,2,120,25,801.0199999999999
396,12,118,0,88,10,4,29,9,3,22,10,20,242,0,106,28,800.9899999999998
400,12,98,1,50,23,11,44,10,9,8,7,6,314,1,110,17,821.0
405,12,138,0,86,12,5,29,14,8,21,10,10,262,1,124,25,856.9799999999999
406,12,120,0,88,7,6,33,9,9,29,14,11,251,0,106,23,817.98
407,12,94,0,46,14,5,32,4,4,17,16,10,328,1,107,20,810.0000000000001
411,12,63,0,52,2,11,13,2,5,7,14,3,72,0,24,4,384.00000000000006
414,16,155,0,88,12,4,29,7,8,15,14,15,161,1,123,20,768.0000000000001
417,16,187,0,111,18,2,23,11,8,14,8,20,214,1,86,28,846.9799999999999
425,16,135,0,83,12,2,26,14,5,14,7,11,252,0,116,29,821.99
426,16,93,1,36,13,9,45,1,10,13,22,11,274,0,85,23,752.0000000000001
427,16,106,1,47,13,12,47,7,4,10,13,4,299,1,77,10,767.0
429,16,146,1,96,16,5,24,9,4,13,13,19,215,0,94,17,788.0
431,16,157,0,92,14,13,23,7,6,18,13,7,177,0,94,28,764.98
433,16,163,1,109,19,7,17,11,6,24,8,11,157,0,94,28,771.0000000000001
434,16,123,0,69,13,6,39,5,7,11,6,19,198,0,95,16,722.9999999999999
437,16,15,0,7,0,0,1,1,22,1,0,3,0,0,5,5,176.01000000000002
442,12,22,0,15,2,0,6,2,1,7,1,3,20,0,18,3,212.0
444,12,31,0,12,1,6,5,2,0,1,5,2,46,1,11,5,240.01
445,12,19,0,14,5,4,2,2,0,1,1,4,27,0,10,3,204.0
1,13,123,0,81,10,1,23,4,3,20,6,10,61,0,40,18,513.0
4,13,155,0,105,16,4,34,7,25,31,10,18,107,0,93,28,745.9999999999999
6,13,170,0,93,13,2,23,5,12,29,13,14,113,0,91,9,699.98
7,13,121,0,96,17,6,48,6,10,31,12,9,152,0,100,39,760.01
8,13,102,1,90,12,2,35,3,16,18,13,13,134,0,93,20,665.0
10,13,117,0,78,15,3,59,5,3,26,5,4,153,1,72,26,680.02
12,13,79,0,78,19,1,66,6,6,25,11,9,156,0,89,13,671.0200000000001
15,13,179,0,97,19,2,39,10,11,17,7,11,128,1,89,23,746.01
23,16,189,1,133,22,8,24,6,17,23,8,17,114,1,108,19,805.98
25,16,183,0,119,15,5,36,7,10,29,12,28,119,2,95,16,792.01
27,16,114,0,102,25,4,20,4,8,15,8,16,167,1,113,24,737.0100000000001
28,16,185,0,118,18,1,17,9,14,20,4,29,132,0,116,20,799.03
29,16,153,0,59,16,7,23,10,3,16,10,5,130,1,81,18,648.01
39,16,132,0,87,11,7,39,10,4,13,15,11,203,0,111,26,784.9800000000001
40,16,181,1,87,10,2,19,9,22,21,3,19,64,0,75,14,643.01
41,16,170,0,96,15,7,34,9,6,23,10,17,189,0,85,27,803.98
48,13,188,0,129,18,5,17,7,11,24,9,16,113,69,25,0,743.9900000000001
49,13,152,0,114,15,2,22,8,14,27,6,10,145,0,65,20,712.99
51,13,212,1,147,8,2,22,5,14,29,8,15,85,0,74,21,756.0000000000001
55,13,161,0,93,7,8,19,4,6,17,8,11,103,0,63,29,641.9799999999999
57,13,196,0,152,9,5,20,2,6,22,3,24,94,0,74,22,742.0000000000001
59,13,182,0,115,11,6,22,7,6,9,5,16,131,0,84,30,736.99
62,13,173,0,100,16,2,24,5,6,14,3,13,125,0,80,20,693.99
65,14,111,0,105,12,5,36,9,8,11,9,12,170,0,105,19,726.01
66,14,137,0,76,15,5,42,8,5,19,10,13,204,0,112,27,786.99
67,14,122,3,81,11,9,57,7,2,23,19,6,203,0,77,24,758.01
78,14,174,1,93,10,8,32,12,5,18,5,9,166,0,98,30,775.0
81,14,97,0,64,15,5,53,11,4,24,7,10,310,2,102,32,850.0000000000001
82,14,100,0,58,6,6,43,9,4,11,12,6,265,0,60,18,711.99
87,13,175,1,81,21,4,36,10,5,34,6,17,133,0,104,16,756.01
91,13,116,0,63,15,5,63,7,10,28,24,8,154,0,96,21,723.01
96,13,138,0,94,16,3,29,3,5,21,10,12,137,2,74,16,673.0100000000002
106,12,112,1,82,15,8,52,5,3,10,14,13,202,1,99,29,757.99
109,12,113,0,70,14,5,62,2,2,29,10,8,211,0,111,22,770.99
115,12,101,0,42,17,7,42,11,5,17,12,5,198,0,87,14,670.01
117,12,154,1,83,17,3,25,12,10,27,9,12,172,0,141,41,818.99
118,12,74,0,50,5,0,23,6,4,7,6,14,113,0,63,7,483.99
119,12,128,0,74,28,3,34,12,5,18,6,14,176,1,130,34,774.9899999999999
121,12,142,0,100,20,5,27,7,12,17,5,18,161,2,108,25,760.9999999999999
122,12,147,0,82,20,5,42,12,6,17,8,11,177,0,121,28,787.9999999999999
123,12,168,1,95,11,3,44,8,8,21,15,18,146,0,108,30,788.0000000000001
124,12,94,0,61,7,4,51,13,2,13,5,8,248,0,114,32,764.0
134,12,111,0,74,14,11,42,10,8,17,15,19,195,0,109,31,768.01
137,12,141,0,74,8,2,37,8,1,23,9,9,154,0,110,16,704.0000000000001
138,12,185,0,104,10,2,17,7,11,35,4,18,87,0,74,18,684.0000000000001
139,12,194,1,108,13,1,13,10,21,31,5,26,79,1,71,17,703.0099999999999
146,12,139,0,112,16,0,22,6,4,27,12,9,137,0,87,17,699.9999999999999
147,12,120,0,98,14,6,41,3,6,30,16,8,155,0,94,30,733.0000000000001
148,12,117,0,95,19,3,53,5,5,13,11,19,129,0,93,26,700.0000000000001
149,12,132,0,84,13,5,27,4,6,18,11,9,136,0,81,15,652.99
151,12,134,0,103,28,0,30,7,10,25,11,28,121,0,63,22,693.9899999999999
152,12,158,0,115,13,1,13,3,18,22,5,16,89,0,89,23,676.9800000000001
153,12,139,0,110,14,5,23,7,6,16,5,9,122,0,92,21,680.9900000000001
157,12,234,0,121,7,1,19,4,9,23,5,26,83,0,97,24,764.99
164,12,221,0,142,12,2,16,17,8,26,3,29,79,0,89,24,780.0000000000001
165,12,184,0,112,23,3,14,10,11,38,7,14,110,0,130,34,801.99
167,12,195,0,109,19,4,23,10,9,27,11,15,102,0,107,22,764.99
169,12,125,0,91,14,1,43,8,3,19,11,8,184,0,83,26,727.9900000000001
170,12,136,0,101,16,6,26,7,13,27,7,9,166,0,104,25,754.9999999999999
173,12,186,0,94,10,5,21,5,15,16,12,22,140,0,113,25,776.0000000000001
174,12,167,0,106,12,6,29,19,21,12,13,9,125,0,101,39,771.0
177,12,132,0,95,21,6,28,11,5,16,10,18,161,0,114,16,744.9999999999999
178,12,156,1,91,9,6,29,10,13,22,8,10,185,0,109,29,790.0
179,12,107,1,69,16,5,46,6,10,12,6,8,231,1,99,23,752.0100000000001
183,12,210,0,101,12,2,25,5,12,21,8,15,100,0,104,26,752.9999999999999
186,12,148,1,104,21,0,24,15,7,22,8,22,177,0,100,18,779.01
188,12,133,0,102,8,1,17,6,2,15,7,9,158,0,95,19,683.9800000000001
189,16,204,0,126,16,1,14,5,9,29,1,20,91,0,98,18,748.01
193,16,242,0,156,12,1,10,13,7,36,4,22,73,0,89,16,797.0200000000001
194,16,219,3,117,14,6,12,3,22,13,9,26,94,0,124,17,794.98
195,16,170,0,115,11,5,12,6,12,32,6,17,124,0,114,22,762.01
196,16,215,1,105,6,1,11,6,8,21,5,19,87,2,60,19,682.0000000000001
197,16,143,0,105,4,4,16,10,10,17,7,15,125,0,84,15,670.9900000000001
201,14,131,0,67,7,4,50,2,4,14,8,8,320,0,78,33,840.0
202,14,131,0,88,17,6,26,15,9,22,8,17,236,0,114,36,838.9899999999999
203,14,118,0,65,16,6,38,7,5,15,10,3,308,1,112,10,828.0000000000001
206,14,126,0,81,17,5,38,11,8,12,6,19,255,0,126,23,841.0
211,14,159,3,89,14,7,42,8,2,29,12,6,349,1,111,26,972.01
214,14,142,0,74,13,6,27,13,12,21,3,10,257,0,96,28,816.0
216,14,166,1,109,12,8,26,11,12,32,11,13,252,1,119,21,908.02
217,14,121,1,66,23,5,47,5,6,15,9,6,267,0,93,16,794.0
223,14,129,0,76,15,7,55,7,9,18,10,9,275,0,90,19,832.9899999999999
224,14,133,0,61,12,16,22,8,3,21,9,3,272,0,73,14,760.9899999999999
227,14,103,1,56,20,6,40,7,4,15,8,3,260,0,94,20,751.01
230,14,134,0,67,10,9,53,8,3,16,6,3,293,0,91,27,834.0000000000001
235,14,116,1,57,12,7,34,7,3,14,10,8,304,1,99,20,806.9999999999999
236,14,70,0,44,4,10,41,8,1,13,15,5,375,0,70,22,791.9900000000001
237,14,89,1,65,5,2,39,12,6,13,20,12,363,0,111,19,871.0
238,14,133,2,72,2,1,39,5,10,11,11,5,288,1,106,16,815.9999999999999
240,14,129,0,69,15,6,39,6,4,14,14,11,291,0,68,35,815.0
244,14,102,1,74,19,8,35,10,7,13,7,8,350,0,79,20,846.9899999999999
245,14,118,0,60,9,7,52,7,2,13,3,5,341,0,62,30,822.99
249,14,93,1,53,13,13,45,7,2,10,13,7,345,0,122,14,852.0099999999999
250,14,100,2,66,17,8,26,3,3,7,6,9,346,0,66,19,791.9699999999998
251,14,102,0,44,12,2,33,7,11,13,9,9,373,1,83,12,825.01
252,14,75,1,51,13,7,31,2,3,8,8,9,325,0,134,18,799.02
256,14,124,0,82,11,6,23,19,2,19,8,7,199,1,67,20,701.99
257,14,110,0,70,6,6,27,2,5,19,13,15,256,0,66,24,733.0
259,14,117,0,54,13,3,17,9,13,11,8,15,238,0,89,23,724.0
260,13,97,1,70,15,18,42,14,6,16,9,10,278,1,81,20,790.9800000000001
261,13,127,2,78,12,8,33,4,5,11,16,10,204,0,88,22,732.9899999999999
265,13,98,0,53,13,4,37,3,6,10,5,9,150,0,65,17,583.0
267,13,138,0,92,16,5,25,7,8,13,5,12,193,0,87,30,744.0
272,13,144,0,86,20,0,42,6,6,7,8,6,161,1,103,24,727.01
277,13,173,0,83,19,5,42,11,9,20,6,25,184,0,112,36,838.0100000000001
278,13,104,0,60,18,4,43,7,5,26,16,15,236,0,95,32,774.0
291,13,89,0,50,13,4,37,9,2,11,11,9,248,0,71,20,687.0200000000001
294,13,132,0,70,11,6,34,5,1,13,8,10,276,0,95,20,794.0000000000001
295,13,78,0,52,16,5,50,6,6,10,9,6,291,0,120,17,778.99
303,14,113,0,77,17,5,36,8,2,13,6,6,296,0,98,22,813.02
304,14,140,1,90,10,2,41,4,9,13,7,2,190,0,73,21,717.0100000000001
308,14,96,0,51,9,8,41,8,3,9,6,8,353,0,77,10,793.0100000000001
316,14,130,0,53,14,5,37,3,5,20,7,4,254,0,86,32,764.0
317,14,108,0,52,12,6,29,9,2,16,11,13,281,0,106,22,781.01
320,14,115,0,62,12,5,31,17,5,14,5,15,259,0,77,26,756.9999999999998
326,14,116,3,63,17,5,42,13,3,12,9,3,234,0,86,13,732.99
329,14,93,0,66,16,8,31,6,2,15,4,8,267,0,94,29,752.99
330,14,141,1,71,24,8,48,6,5,27,13,6,274,0,92,24,853.9999999999999
335,13,115,2,97,19,5,21,7,10,21,12,12,213,0,108,31,786.0
339,13,120,0,84,17,5,24,13,7,19,11,13,256,0,88,25,795.02
341,13,116,0,55,12,6,38,6,9,18,11,6,287,0,78,14,768.97
342,13,108,3,65,14,11,42,4,5,13,9,11,247,2,101,23,771.0099999999999
344,13,117,0,72,14,5,28,8,8,15,18,8,250,0,83,23,761.98
349,13,92,2,45,7,14,45,3,2,14,9,2,293,0,74,16,731.0
350,13,86,0,44,17,5,49,7,3,8,12,8,322,0,67,15,755.9900000000001
352,13,123,0,63,13,3,40,11,2,22,12,2,270,0,75,23,771.99
363,13,144,3,50,14,1,52,9,8,12,14,11,203,0,65,28,726.9899999999999
365,13,87,0,56,13,7,53,11,9,10,10,9,278,1,104,26,787.0099999999999
368,12,125,1,106,27,4,22,5,6,18,2,15,193,0,98,32,765.98
372,12,177,0,99,10,2,28,7,11,30,12,14,156,0,102,29,788.9899999999999
376,12,155,0,88,17,6,33,12,5,15,8,12,205,0,89,25,782.0000000000001
384,12,135,0,81,23,4,31,5,12,20,14,12,320,0,129,16,914.01
385,12,154,0,87,18,3,24,5,8,13,9,11,218,0,120,32,813.9899999999999
386,12,120,1,78,5,5,39,2,12,10,11,10,284,0,82,21,792.0100000000001
390,12,114,3,56,14,5,41,6,9,8,9,5,251,0,123,23,779.0100000000001
392,12,122,1,61,9,6,40,11,4,16,14,15,196,0,111,25,743.0
393,12,103,0,62,7,8,39,6,2,17,7,7,254,1,105,24,753.9999999999998
394,12,145,1,86,13,6,28,11,9,20,7,11,224,0,134,30,837.01
401,12,112,0,44,17,5,39,12,5,16,13,12,270,0,119,14,789.9999999999999
403,12,95,0,56,16,8,38,10,7,8,13,15,260,0,86,14,738.03
409,12,122,0,107,14,4,51,8,11,15,11,12,327,0,128,36,958.0
413,16,129,1,104,13,4,40,10,2,22,6,8,169,0,109,36,769.0000000000001
415,16,140,0,110,22,6,16,12,15,16,8,12,183,0,104,20,779.9899999999999
418,16,141,0,91,23,8,31,13,9,20,13,14,242,0,110,31,862.0099999999999
432,16,173,0,100,11,10,19,4,8,25,7,12,76,0,84,14,659.0100000000001
441,12,19,0,9,4,6,5,1,1,0,1,0,28,0,16,2,203.99
446,13,18,0,5,0,3,1,0,1,1,1,2,22,0,4,1,171.97
447,16,5,0,5,0,0,1,0,0,0,0,0,11,0,1,1,139.99999999999997
448,16,11,0,3,1,2,2,0,0,0,1,0,20,0,9,3,168.0
449,14,18,0,4,2,2,5,1,3,1,3,2,32,0,1,6,194.0
450,14,31,0,12,3,2,5,0,0,2,2,1,53,0,12,5,242.01
