SEZIONE,fiamma_tricolore,moderati_in_rivoluzione,grande_sud,lega_nord,p_d_l,la_destra,intesa_popolare,fratelli_d_italia,io_amo_l_italia,forza_nuova,rivoluzione_civile,lista_giannino,partito_comunista,centro_democratico,p_d,s_e_l,m5s,lista_amnistia,casapound,p_r_i,f_l,u_d_c,lista_monti,TOTALE
1,0,1,0,6,67,4,2,3,2,0,11,5,0,1,82,22,59,1,0,0,0,3,32,400.98
9,0,2,0,14,70,2,0,13,0,0,16,6,1,3,133,67,86,2,2,0,0,4,42,563.0000000000001
14,0,1,0,5,74,2,0,6,1,1,18,9,2,1,173,58,100,0,1,2,0,4,46,604.02
17,1,4,0,12,81,0,0,7,0,0,17,9,3,2,214,51,89,3,1,0,2,10,33,639.01
24,0,1,0,20,143,0,0,21,2,0,9,22,1,2,164,45,78,2,2,1,5,4,70,692.0200000000001
26,5,0,0,12,90,3,0,4,0,1,10,14,4,0,180,28,101,2,1,0,1,13,74,642.99
29,0,1,0,14,73,1,0,7,0,2,17,10,2,0,160,35,67,2,0,0,1,8,58,558.01
30,0,2,0,7,77,2,0,7,2,2,11,8,3,0,186,32,120,2,1,0,1,4,61,628.0200000000001
31,0,1,0,11,76,2,0,13,0,2,14,18,0,2,199,55,103,3,0,0,2,7,57,664.99
33,0,1,0,15,78,1,0,5,1,5,12,10,2,2,220,43,96,4,1,0,0,8,34,638.0100000000002
35,0,2,0,19,82,2,0,8,0,2,27,15,1,1,210,49,116,1,0,0,2,3,49,689.0000000000001
38,2,0,0,8,71,2,0,4,1,0,12,3,0,1,192,30,94,1,0,0,1,1,34,557.0200000000001
39,0,0,0,16,56,0,0,4,0,0,10,7,1,0,222,40,86,0,1,1,2,7,42,594.9700000000001
40,0,1,0,8,123,0,0,13,1,1,6,21,0,1,127,15,85,2,0,0,2,7,97,610.02
42,0,0,0,15,67,1,0,8,2,0,13,12,0,2,169,31,107,1,1,0,0,2,42,572.98
43,0,2,1,18,78,1,0,14,3,0,4,12,2,1,233,23,91,4,1,0,2,1,82,672.9599999999999
44,0,1,0,13,127,2,0,21,1,2,9,7,1,0,121,19,69,2,1,0,4,5,60,565.04
46,0,5,1,11,82,0,0,6,0,2,14,9,3,3,162,47,85,4,1,0,0,11,50,595.99
47,0,6,0,11,99,2,0,9,1,2,8,11,0,1,160,35,104,2,1,0,0,4,48,604.0
49,1,3,0,14,117,1,0,13,5,0,22,31,4,2,173,66,99,3,0,0,2,6,61,722.99
58,1,4,0,8,121,3,0,6,1,1,9,12,0,2,128,32,69,2,1,0,5,4,47,556.02
61,1,2,1,8,100,2,0,13,2,0,18,8,0,4,158,36,109,2,0,0,2,4,46,616.01
62,1,0,0,11,75,5,0,4,0,0,15,13,0,0,133,24,103,1,0,0,0,6,49,540.01
68,2,1,0,2,55,0,0,1,1,1,14,10,2,3,200,41,128,1,0,0,0,3,39,604.02
69,0,4,1,9,60,0,0,10,3,0,9,7,0,1,177,42,76,1,0,0,0,15,37,551.98
73,1,1,0,5,58,2,0,1,8,3,14,3,0,0,280,30,85,0,0,0,0,3,30,624.0000000000001
76,2,4,0,7,60,0,0,1,1,0,13,2,4,1,165,17,58,4,0,1,1,3,22,465.9699999999999
81,0,3,0,15,58,3,0,7,1,1,17,2,4,0,275,51,113,2,0,0,2,7,36,697.01
84,0,5,0,9,88,0,0,11,1,1,4,7,1,4,100,25,78,2,0,0,2,8,61,507.0
86,1,2,0,6,90,5,0,7,0,0,7,12,0,0,127,27,66,1,0,1,3,4,72,530.98
93,1,0,0,5,54,5,0,5,0,2,13,10,2,0,172,58,62,2,0,0,6,6,47,549.97
96,0,0,0,11,72,0,0,9,3,0,23,6,3,0,139,39,83,0,0,0,3,9,35,535.0099999999999
99,2,0,0,13,124,3,0,14,4,0,14,16,5,4,176,39,106,2,1,1,2,8,53,686.9899999999999
101,1,3,0,12,98,0,0,11,0,2,12,5,1,0,157,41,62,0,1,0,3,4,45,558.0200000000001
103,0,2,0,15,79,3,0,4,2,2,15,11,4,1,174,39,87,5,0,0,2,15,34,593.9799999999999
107,0,2,0,7,65,2,0,7,2,0,15,9,4,2,206,59,108,1,1,1,2,1,30,623.9900000000002
111,2,2,1,7,63,2,1,6,1,2,9,4,6,1,255,19,96,5,0,1,4,0,37,623.99
117,0,1,0,16,76,4,0,8,3,1,12,19,3,1,229,48,94,2,0,1,3,8,60,689.0200000000001
119,1,1,0,18,65,2,0,9,1,2,13,12,1,1,236,39,78,2,1,0,3,2,50,637.0099999999999
123,2,4,0,13,87,2,0,4,4,2,16,2,3,4,209,32,87,0,2,2,1,10,64,650.0
127,0,4,1,10,79,1,0,5,4,0,21,7,5,2,254,33,129,0,0,0,0,9,57,720.9899999999999
130,1,2,1,5,66,1,0,4,2,1,17,7,3,3,232,34,138,2,0,0,3,7,53,681.9900000000001
132,0,2,0,7,107,1,0,16,1,2,12,13,2,5,311,32,147,2,0,0,3,11,63,837.01
134,5,0,0,9,88,1,0,12,3,1,20,8,3,1,259,34,124,1,0,0,0,9,40,718.0
136,1,2,3,9,83,0,0,2,0,2,3,22,1,1,204,20,128,2,2,0,3,11,33,632.02
138,0,5,1,8,118,1,0,17,0,2,5,12,1,1,105,26,67,2,1,0,1,3,55,530.98
140,1,2,0,8,61,0,0,9,3,1,18,4,2,1,147,50,89,8,1,0,4,3,38,550.0
141,0,6,2,11,98,2,0,9,0,1,8,14,2,0,134,50,68,4,0,0,1,1,32,543.0
151,0,3,0,13,94,4,0,10,1,2,15,14,1,1,128,45,83,3,0,0,0,5,56,578.0200000000001
155,2,2,0,17,109,5,0,20,1,1,15,21,2,1,181,43,81,2,4,0,1,10,83,701.0099999999999
157,0,4,0,16,111,3,0,9,1,1,7,16,0,5,169,18,68,6,1,0,3,4,79,621.0000000000001
162,1,3,0,10,103,1,0,13,3,0,6,15,0,0,171,28,60,2,0,0,1,11,77,604.9999999999999
163,0,3,0,16,93,1,0,8,2,1,9,18,1,2,158,27,53,0,1,0,1,17,71,582.0
167,2,1,0,16,90,3,0,21,3,0,10,8,0,1,145,24,86,3,0,0,3,6,61,583.0000000000001
168,0,1,1,12,101,1,0,19,1,1,11,11,1,7,163,18,56,4,1,1,4,10,91,614.9799999999999
171,0,3,0,17,82,2,1,13,3,0,11,9,3,3,191,34,86,1,0,0,0,10,52,621.02
173,0,7,0,10,86,0,0,9,3,1,13,11,1,3,197,31,118,2,0,1,1,5,88,686.9699999999999
175,0,3,0,4,82,1,0,4,0,1,10,12,0,5,169,30,81,2,0,0,2,4,62,572.0100000000001
177,0,1,0,6,59,0,0,11,0,2,15,4,2,2,199,34,101,4,0,0,2,6,40,588.0000000000001
179,0,2,0,10,53,1,0,3,0,0,17,7,1,0,221,33,115,2,0,1,3,4,30,603.0200000000001
180,0,8,0,10,97,3,0,6,0,1,10,7,2,2,171,25,102,2,0,1,5,5,53,610.0
182,0,1,0,7,52,3,0,3,3,2,10,4,0,1,169,20,92,0,0,0,2,4,31,504.0
184,0,3,0,8,70,1,0,6,3,2,20,8,1,1,176,26,88,0,0,0,3,5,57,578.0
188,3,6,1,9,74,4,0,7,0,2,11,3,3,2,163,33,120,1,2,1,2,10,54,611.0100000000001
189,0,3,1,18,123,1,0,25,0,1,13,10,0,1,125,18,73,3,0,1,1,14,71,602.0099999999999
199,3,0,0,9,64,4,0,10,0,1,29,13,2,1,290,52,192,5,2,1,2,6,44,829.9899999999999
205,0,2,0,18,84,1,0,4,0,2,12,8,4,0,234,25,130,1,1,0,3,3,51,682.9999999999998
208,0,2,0,7,75,0,0,9,2,2,14,4,4,2,225,24,106,3,0,3,3,5,22,612.0200000000001
209,1,1,0,6,67,2,0,9,0,2,14,6,2,2,281,25,120,0,0,0,2,3,46,689.01
216,1,3,1,13,72,3,0,7,4,2,15,9,1,1,242,23,75,0,1,0,0,5,54,632.0
218,0,1,0,7,53,2,0,5,0,1,12,9,4,0,260,34,118,3,0,0,0,4,30,642.99
219,1,2,0,6,60,1,0,3,1,0,9,6,2,3,380,38,102,0,0,0,0,6,42,761.99
220,0,0,0,11,85,5,0,7,4,2,14,3,0,0,321,26,94,2,0,1,1,5,56,736.9899999999998
225,0,1,0,17,59,1,0,3,3,2,9,7,5,0,246,17,94,3,0,0,0,3,37,607.0
227,0,2,0,8,41,0,0,3,1,1,8,0,0,0,233,11,88,1,0,1,0,6,22,525.97
232,2,1,0,9,41,1,0,5,3,0,11,5,6,2,261,26,85,1,0,0,0,4,21,584.0
234,2,6,0,13,94,0,0,9,0,1,14,3,0,2,258,20,129,0,1,0,1,9,43,705.02
238,1,0,0,12,67,2,1,3,0,0,14,8,1,1,248,21,118,1,1,0,3,15,38,654.9799999999999
239,1,2,0,4,52,0,0,4,2,1,6,4,5,0,281,19,110,0,0,0,0,5,35,631.0000000000001
240,2,0,1,14,90,0,3,4,0,4,13,6,3,3,284,40,127,2,0,1,2,4,48,750.9799999999999
245,0,3,0,12,66,4,0,2,0,0,17,4,2,1,272,31,132,1,3,0,0,2,45,697.02
252,1,0,0,12,60,0,0,6,2,0,8,5,3,1,300,32,78,3,2,0,0,5,23,640.9699999999999
256,1,2,1,19,85,2,0,9,0,0,12,13,2,1,179,25,159,0,1,0,0,1,30,641.9899999999999
265,1,2,0,9,71,1,0,4,2,4,14,1,2,2,169,24,86,0,0,2,1,2,19,516.0
266,0,3,0,4,59,4,0,3,2,1,10,4,7,0,189,25,80,1,1,2,0,2,28,525.0100000000001
267,0,2,0,16,61,1,0,8,1,0,10,12,0,0,147,26,70,0,0,0,0,7,33,494.01
270,1,1,1,10,63,1,0,6,0,1,10,11,3,1,240,46,134,0,0,0,3,4,43,678.99
272,0,0,1,9,69,0,0,8,0,1,23,5,3,1,175,51,105,0,0,0,4,6,37,597.99
274,1,0,0,7,49,3,0,3,1,0,14,2,3,1,229,31,119,2,0,0,4,1,29,598.9899999999999
275,0,2,0,9,63,1,0,7,0,0,22,5,1,2,218,29,85,1,4,0,3,7,40,598.99
277,0,2,0,13,99,0,0,9,2,0,12,6,1,2,198,42,115,0,1,0,1,11,52,666.0000000000001
281,0,0,0,9,58,1,0,7,1,1,22,9,4,0,173,36,91,0,1,0,4,5,31,553.0
282,1,0,0,11,49,3,0,1,0,3,20,2,1,2,199,27,108,1,3,0,1,5,29,565.9600000000002
283,0,1,0,16,51,0,0,8,1,0,11,4,2,1,243,24,88,1,0,0,0,7,22,580.0100000000001
284,0,1,0,4,61,1,0,3,0,0,19,3,3,1,216,29,108,2,2,1,1,7,31,592.99
285,0,0,0,2,57,2,0,9,2,0,18,9,2,3,215,32,142,1,0,0,3,2,42,640.98
286,1,1,1,14,38,3,0,3,0,2,19,4,5,0,198,29,123,4,0,1,0,6,23,574.9800000000001
292,1,0,0,4,42,1,1,2,0,2,16,1,3,2,206,21,114,0,0,0,4,3,26,548.9999999999999
294,1,1,0,7,54,2,0,4,1,0,13,2,4,5,218,32,89,1,0,0,0,6,30,570.0
297,1,2,1,4,69,1,0,2,2,0,12,2,6,6,301,30,115,1,1,0,0,4,43,703.0199999999999
299,0,4,0,4,75,2,0,7,0,1,24,8,2,2,315,26,161,0,1,0,4,4,37,777.0200000000001
310,1,1,1,12,81,1,1,5,0,0,7,3,1,0,213,39,116,1,0,0,0,5,24,612.0500000000001
312,1,0,0,3,46,0,1,2,2,1,8,2,3,2,260,15,89,1,0,1,3,3,23,565.9700000000001
315,2,0,0,10,55,1,0,4,0,1,24,7,2,0,276,39,152,0,0,0,3,5,51,732.0
316,2,2,0,10,74,1,0,7,0,1,14,5,4,2,216,22,120,1,1,0,1,1,31,614.98
317,0,0,0,5,86,0,0,4,0,0,4,2,4,4,245,25,115,0,0,1,4,5,41,644.9799999999999
319,1,0,0,7,48,0,0,2,1,0,17,2,6,1,315,27,93,2,0,0,2,0,18,642.0
322,3,8,0,5,52,1,0,7,0,1,13,10,3,3,233,32,116,2,0,2,2,6,24,622.99
323,1,1,0,2,60,1,0,5,0,1,9,4,2,1,256,25,65,2,1,0,0,2,18,556.0100000000002
327,0,1,1,8,55,2,0,5,0,1,20,2,2,0,218,23,109,2,2,2,2,9,26,589.9899999999999
329,0,1,2,8,84,2,1,0,0,3,15,5,3,0,272,26,128,1,1,1,3,1,44,701.0299999999999
331,0,1,1,9,79,1,0,5,0,1,23,10,1,4,183,38,102,2,0,0,2,4,30,595.9999999999998
332,0,1,1,7,62,4,0,10,2,0,10,7,1,0,210,51,113,2,0,0,1,6,30,617.99
333,0,3,0,8,66,0,0,1,0,2,10,4,5,1,200,16,100,1,1,0,3,3,12,536.0100000000002
337,0,3,0,11,57,3,0,1,0,0,11,4,2,0,229,38,115,2,1,0,1,5,31,613.97
341,0,0,0,10,55,1,0,4,0,3,8,4,1,0,167,28,75,0,0,1,2,1,17,477.0199999999999
346,1,7,0,13,101,2,0,7,1,3,21,10,4,4,247,47,148,2,1,0,2,1,55,777.0
350,0,2,0,8,36,3,0,1,1,2,18,4,4,0,223,37,100,0,0,0,1,4,23,566.99
353,0,1,0,13,45,0,1,2,1,1,22,6,0,0,254,31,98,1,0,0,0,6,28,610.0200000000001
357,1,7,0,9,69,0,0,5,1,1,13,2,2,3,239,22,109,5,0,1,1,8,43,640.9599999999999
358,0,1,0,10,64,1,1,3,2,3,5,2,0,0,206,21,104,1,0,0,0,1,25,549.99
359,1,1,0,6,67,1,0,1,0,2,16,3,1,2,194,12,68,0,0,0,0,8,14,497.0
366,0,11,0,18,82,1,0,6,1,4,16,20,4,1,195,29,166,0,0,0,3,8,46,710.9799999999999
370,1,2,0,10,80,3,0,7,1,0,10,9,0,4,282,26,90,0,0,1,1,11,48,686.0
372,1,1,0,5,101,5,2,14,2,2,18,10,0,2,174,32,105,2,0,1,6,7,55,645.0
374,0,1,0,17,77,2,0,4,0,3,9,7,0,4,209,38,93,0,1,1,1,6,52,624.9800000000002
375,1,0,0,8,71,3,0,22,4,1,18,8,1,4,174,33,110,1,0,0,2,12,35,608.0
384,2,1,0,9,86,0,0,7,4,2,11,5,1,2,338,29,104,2,0,0,2,3,79,787.01
389,1,3,0,13,67,3,0,3,0,0,7,9,1,4,205,19,96,1,0,1,0,11,46,589.9800000000001
390,2,5,1,2,52,0,0,2,2,0,17,5,2,3,228,34,119,0,0,0,0,8,28,610.0000000000001
391,0,2,0,3,56,1,0,5,1,0,14,8,4,1,240,27,97,1,0,0,3,0,42,605.0000000000002
394,0,3,0,8,97,0,0,10,4,2,16,4,3,0,268,22,85,0,4,0,2,4,57,689.0199999999999
395,1,3,0,11,59,3,0,4,1,0,13,7,1,2,227,25,101,0,0,0,2,4,30,593.99
396,0,2,0,14,72,0,0,6,0,1,10,4,3,1,246,27,95,1,0,0,0,5,56,642.98
397,3,1,1,10,57,2,0,7,1,1,14,7,2,1,249,24,91,1,0,0,3,3,33,611.0400000000002
403,0,2,0,7,40,0,0,3,0,0,10,6,2,0,227,26,102,3,1,0,4,15,37,584.9900000000001
404,0,5,0,6,91,1,0,14,0,0,13,9,0,1,234,31,119,3,0,2,1,16,70,715.9800000000001
405,0,1,0,11,81,2,0,8,4,0,14,7,0,0,241,21,87,3,0,0,0,4,32,616.0100000000001
407,0,1,2,4,41,0,0,3,0,2,9,6,1,0,308,37,76,1,0,0,1,3,37,632.0
408,2,1,0,4,71,3,0,6,0,1,9,2,1,2,225,26,106,0,0,0,6,9,59,633.0300000000001
411,1,4,0,3,53,2,0,4,0,1,5,5,2,1,117,6,28,1,0,3,0,6,13,354.9800000000001
414,1,0,0,7,68,2,0,4,0,1,21,5,0,1,188,37,107,0,0,0,3,3,48,595.9799999999999
422,0,0,0,10,86,2,0,1,3,0,9,19,0,2,155,36,70,3,0,0,3,4,88,590.9999999999999
427,2,1,0,8,69,0,0,3,1,0,13,2,5,0,200,18,105,0,0,0,0,3,20,549.98
429,0,0,0,8,67,3,0,5,2,5,10,9,2,2,203,27,93,1,3,0,3,10,48,601.0200000000001
435,0,1,0,10,81,2,0,7,0,0,10,9,1,3,203,24,116,1,0,0,1,3,47,619.0000000000001
436,1,3,0,10,68,0,0,6,1,2,16,5,2,3,214,22,117,0,0,1,5,8,45,629.0100000000001
443,0,0,1,0,4,0,0,0,2,0,1,0,0,1,27,1,2,0,0,0,0,0,5,143.99
444,0,0,1,0,11,0,0,1,0,0,0,0,1,0,21,1,12,0,0,0,0,0,6,153.99
3,0,1,2,13,101,7,0,18,4,1,3,14,2,0,118,28,79,6,3,2,1,5,54,562.0100000000002
4,1,5,0,14,101,2,1,10,1,1,10,24,0,1,157,33,67,4,0,0,1,17,78,628.0
5,1,5,1,14,120,2,0,4,1,1,24,26,2,1,94,32,85,3,0,1,0,5,42,564.0299999999999
8,0,0,0,8,42,0,0,5,0,0,19,11,1,2,152,39,84,1,0,0,3,4,45,516.0000000000001
10,0,1,1,7,77,1,0,1,2,0,25,9,2,1,163,66,69,3,0,0,0,2,41,570.9799999999999
15,1,3,0,7,99,2,1,14,2,1,15,12,2,2,161,46,87,0,0,1,3,6,52,617.0
18,0,2,0,20,107,1,1,11,1,2,19,13,0,0,169,45,85,3,2,1,2,7,81,671.9799999999999
19,0,4,0,9,123,1,0,15,2,0,13,9,0,1,136,24,75,1,1,1,4,6,91,615.9899999999999
20,2,3,0,22,169,5,0,17,0,0,4,28,0,1,113,18,66,4,0,0,1,11,95,659.01
22,3,4,0,14,105,0,0,13,6,0,8,19,1,2,202,68,93,0,0,1,2,6,51,697.9899999999999
25,0,2,0,17,115,0,0,10,1,1,18,13,4,3,133,44,82,0,1,0,1,8,49,602.0000000000001
27,0,3,0,17,70,0,0,7,1,0,22,14,1,4,196,47,76,3,1,1,1,6,70,640.0200000000002
28,1,6,0,19,117,2,0,9,2,0,17,13,2,0,207,37,94,1,1,0,4,1,67,700.0199999999998
32,0,3,0,6,62,3,0,8,3,1,12,10,2,3,202,32,112,1,2,0,0,8,48,618.01
36,0,2,0,15,60,4,0,10,1,0,9,13,1,2,213,32,96,1,0,0,4,8,61,632.02
37,1,1,0,13,87,0,0,4,0,2,8,15,3,1,208,24,89,2,0,1,4,6,56,624.9900000000001
51,0,6,0,25,128,1,0,15,2,0,8,14,1,3,135,25,87,1,0,0,3,5,76,635.0000000000001
53,1,0,0,10,93,1,0,4,0,1,26,17,2,1,167,50,116,1,0,0,4,4,64,662.02
54,0,1,0,2,83,1,0,7,5,0,14,10,2,2,157,54,85,0,1,0,3,2,43,571.98
55,0,3,0,11,114,3,0,9,1,1,15,11,1,3,141,43,98,0,2,0,1,2,43,602.02
57,2,3,0,11,101,0,0,14,2,0,10,13,4,3,140,16,91,1,2,0,1,4,60,578.02
64,0,1,0,8,80,2,0,4,1,3,13,12,0,3,175,44,106,1,0,2,3,5,39,602.02
65,0,4,0,11,57,4,0,5,2,0,14,3,3,4,185,41,116,1,0,0,0,9,46,604.9900000000001
67,2,1,0,3,61,3,0,2,0,0,15,10,0,2,200,43,102,2,0,1,5,2,42,595.97
70,1,0,0,15,51,2,0,4,0,1,6,8,2,2,205,31,110,1,1,1,5,2,36,584.0100000000001
71,0,5,0,12,82,2,1,9,1,0,18,7,2,1,207,35,106,3,0,0,3,8,52,653.98
72,1,0,0,16,65,4,0,4,1,1,11,8,2,1,221,35,95,1,1,0,0,4,35,606.0200000000001
74,0,0,1,15,41,0,0,3,1,1,14,8,1,3,274,31,73,2,2,0,2,3,34,609.01
79,1,3,1,15,103,3,1,17,1,0,6,9,2,1,167,26,83,1,1,1,4,0,40,586.0300000000002
80,2,2,0,3,66,5,0,3,0,0,8,3,1,3,107,20,71,1,1,0,1,3,25,425.00000000000006
82,1,4,1,12,40,1,0,11,1,1,16,5,3,2,224,37,93,3,0,2,3,2,28,589.97
87,4,1,0,12,98,0,0,10,2,0,15,10,1,1,167,52,82,2,3,0,0,4,52,616.01
90,1,6,0,12,79,2,0,13,0,2,20,7,1,3,121,40,84,3,1,1,3,3,40,542.0
92,0,3,0,11,40,2,0,6,2,0,23,11,2,2,174,89,97,1,0,1,2,1,39,606.0400000000001
94,1,0,0,5,40,2,0,0,2,2,11,5,2,3,130,39,80,1,0,0,3,3,22,450.97
95,2,0,0,4,62,0,1,14,4,1,17,9,5,1,168,70,84,0,1,0,0,3,44,590.0000000000001
98,0,1,0,12,95,3,0,14,0,2,11,12,1,1,146,24,75,0,0,0,3,3,65,567.99
106,2,0,0,15,50,0,0,4,1,0,16,7,6,5,210,44,98,0,0,1,4,4,52,618.9899999999999
109,1,3,1,8,56,0,0,8,1,2,15,11,0,1,245,76,106,5,2,0,1,2,35,678.99
110,1,2,0,7,54,1,0,10,0,0,16,6,1,1,221,31,120,2,0,0,2,4,54,633.0199999999999
112,0,0,1,9,52,2,0,7,4,0,17,5,4,0,188,44,116,3,0,0,1,5,52,610.0000000000001
115,0,1,0,13,66,1,0,5,2,2,13,5,2,0,202,38,139,2,3,0,1,4,38,637.0000000000001
116,1,2,0,12,57,0,0,1,0,0,11,8,1,2,220,45,102,0,0,0,1,5,45,612.96
118,0,1,0,10,52,0,0,6,0,1,4,2,1,0,104,33,51,0,1,0,0,4,28,398.00999999999993
120,1,1,0,9,70,1,0,8,0,1,12,16,1,1,177,37,102,2,1,1,2,2,48,593.0
122,2,2,0,12,70,0,0,9,1,0,13,2,3,3,224,38,86,2,0,1,3,7,45,622.9700000000001
124,1,0,0,6,35,2,0,7,0,0,13,4,3,0,209,33,110,2,2,0,1,5,20,552.99
131,1,2,1,16,75,2,0,6,1,2,15,6,1,1,249,18,126,0,0,2,1,6,56,687.01
133,0,3,0,13,82,0,0,11,2,0,14,16,1,1,256,31,154,3,0,0,3,5,73,768.02
135,0,0,0,14,70,1,0,3,3,2,14,3,2,0,249,31,109,2,0,0,5,4,28,640.0200000000001
137,1,0,0,8,72,1,0,7,1,1,13,5,2,0,150,19,155,1,1,0,0,2,44,583.0200000000001
139,4,0,1,21,127,2,0,8,3,0,6,14,0,5,100,20,53,2,0,0,4,17,71,558.01
145,1,1,0,13,97,1,0,10,1,0,5,16,1,1,132,21,73,0,0,1,10,13,76,572.9900000000001
147,0,3,0,12,87,1,1,7,2,1,18,18,1,4,193,58,79,2,2,0,1,2,56,647.9699999999999
150,0,1,0,8,52,2,0,6,1,1,15,7,2,0,147,41,84,1,0,0,4,8,45,525.0200000000001
152,1,1,0,13,99,3,0,17,1,0,5,16,2,1,118,42,63,4,2,1,5,5,58,557.0
153,0,4,0,13,75,1,0,13,2,1,10,9,2,1,142,35,76,2,4,1,1,2,62,556.0200000000001
156,1,3,0,8,138,5,1,11,4,0,5,7,1,4,123,7,63,6,0,0,1,17,58,563.03
165,0,9,0,11,114,5,0,9,2,0,5,12,0,2,181,33,70,0,1,0,5,12,77,647.9699999999999
172,1,2,2,11,106,4,0,19,1,0,10,8,2,0,151,24,81,2,0,0,3,11,83,621.0
183,0,1,0,8,90,3,0,7,6,1,7,5,1,1,171,25,80,0,4,0,3,12,58,583.01
185,0,1,0,7,52,0,0,4,0,3,15,6,0,1,271,37,94,0,0,1,1,3,32,628.0200000000001
194,1,9,0,23,129,4,0,17,5,1,6,28,2,9,131,20,61,0,1,0,4,37,115,702.9999999999999
195,0,3,0,17,85,2,0,22,4,1,21,21,1,1,153,44,83,2,1,1,1,12,81,656.0199999999999
196,0,7,0,16,108,1,0,16,5,4,2,20,0,2,109,14,83,3,1,0,1,8,59,559.0200000000001
197,0,1,0,20,112,1,0,19,5,1,9,12,0,0,134,12,98,1,2,0,2,3,83,614.99
198,2,2,0,12,64,1,0,8,1,0,19,8,5,1,283,40,149,1,0,0,1,5,44,745.98
201,1,1,0,14,63,0,0,5,1,1,30,11,2,0,251,42,129,4,1,1,0,2,34,692.9899999999999
202,1,0,0,10,85,0,0,6,1,1,20,9,2,2,289,27,91,1,0,0,2,4,82,733.03
204,0,3,0,18,72,2,0,5,1,0,13,12,3,2,306,37,157,3,2,0,4,4,48,791.9900000000001
210,0,3,0,12,56,0,0,10,2,1,8,15,2,0,225,32,93,4,0,0,2,6,42,613.0
