SEZIONE,fiamma_tricolore,moderati_in_rivoluzione,grande_sud,lega_nord,p_d_l,la_destra,intesa_popolare,fratelli_d_italia,io_amo_l_italia,forza_nuova,rivoluzione_civile,lista_giannino,partito_comunista,centro_democratico,p_d,s_e_l,m5s,lista_amnistia,casapound,p_r_i,f_l,u_d_c,lista_monti,TOTALE
213,0,0,0,3,54,1,0,3,0,1,13,5,5,1,297,28,102,3,0,1,1,2,40,660.01
217,1,6,0,9,84,4,0,8,0,1,19,5,3,4,277,37,149,2,0,1,2,2,31,745.0399999999997
221,3,0,0,12,54,0,0,5,0,0,6,1,0,3,237,15,91,0,1,0,0,3,50,581.0
222,0,2,0,11,57,2,0,8,1,0,13,2,3,0,318,23,98,0,1,0,1,4,57,700.9999999999999
224,0,2,0,6,87,4,0,4,2,2,7,4,3,1,280,20,112,2,1,1,0,3,35,675.98
226,0,0,1,6,51,0,1,3,1,2,15,7,3,3,230,30,86,0,1,1,2,2,25,570.0099999999999
233,1,1,0,7,70,2,0,8,0,4,10,7,5,3,263,24,154,2,0,0,0,6,27,694.02
235,1,0,0,13,48,1,0,5,1,0,17,0,2,1,288,26,83,0,1,0,1,6,39,633.0300000000002
241,1,0,0,14,51,3,1,4,3,1,10,7,1,1,313,14,97,1,1,0,1,8,34,666.0299999999999
242,0,2,0,4,65,1,0,11,5,1,7,8,2,2,257,29,127,2,1,1,0,7,41,672.9799999999999
243,1,1,0,7,53,0,0,8,0,0,16,4,1,0,221,22,110,0,1,0,2,4,22,573.0
246,1,1,0,12,73,1,1,6,0,2,6,3,1,0,246,11,113,0,2,1,0,4,34,617.9799999999999
248,0,0,0,6,39,1,0,1,1,0,14,2,1,1,309,14,95,1,0,1,1,7,36,630.0000000000001
251,0,0,1,2,41,0,1,5,2,0,16,2,5,2,326,24,95,1,0,1,1,8,37,670.0199999999998
253,0,1,0,10,60,0,0,2,0,1,10,6,0,1,327,25,66,0,0,0,0,1,29,639.02
254,0,1,1,14,36,3,0,5,1,0,9,2,1,2,260,52,96,1,0,1,2,6,40,633.0300000000001
257,2,2,0,3,59,4,0,8,1,1,12,5,4,1,242,18,107,1,0,1,0,9,31,611.0300000000002
258,0,3,0,14,93,5,0,6,7,1,8,8,1,1,273,24,112,2,2,0,2,10,45,716.9800000000001
259,0,4,1,6,84,0,0,6,0,1,11,10,0,0,282,22,134,0,0,0,1,7,43,711.9899999999999
262,2,3,0,12,73,1,0,3,0,0,24,8,1,1,222,50,104,1,1,0,0,12,37,654.9899999999998
268,0,1,0,9,70,1,0,7,0,8,25,6,2,1,221,39,126,5,1,0,2,13,58,694.9999999999999
269,2,4,0,14,58,3,0,5,0,1,18,7,1,2,238,51,124,2,0,0,4,9,33,676.0
271,1,4,0,5,49,3,0,5,0,2,21,7,5,3,173,42,119,2,0,1,1,5,35,583.03
273,0,0,0,11,65,2,0,8,4,0,25,7,2,0,200,33,123,1,1,1,1,2,25,611.0100000000001
278,2,0,1,8,43,0,0,4,0,0,13,6,0,1,225,39,104,0,0,1,3,3,31,584.0100000000001
279,1,0,0,6,35,2,0,3,0,0,19,2,5,1,220,31,97,3,0,0,1,3,30,559.01
280,3,1,0,5,48,1,0,3,0,3,23,3,2,0,178,30,117,3,0,2,0,6,27,554.99
288,3,0,1,10,61,3,0,5,2,0,20,1,0,3,215,28,122,0,0,0,0,4,33,611.0100000000001
290,0,0,1,15,53,3,0,16,0,2,7,4,1,1,239,21,109,3,0,0,2,5,37,619.0000000000001
291,1,1,1,5,55,1,0,7,0,0,13,6,6,2,177,34,120,0,0,1,0,3,21,553.99
293,2,0,0,9,55,5,0,8,3,0,9,7,2,0,264,24,110,2,1,0,2,2,27,632.02
296,1,1,0,13,61,2,0,9,1,1,16,6,6,3,369,37,169,3,0,0,3,9,42,852.0100000000001
301,0,1,0,11,72,1,5,5,0,2,24,4,6,2,293,42,140,4,0,0,6,12,39,769.02
302,1,0,0,3,52,1,0,6,1,2,17,6,2,1,236,30,140,0,0,0,2,4,45,648.9800000000001
304,1,0,1,3,71,5,0,2,3,1,9,6,3,2,188,25,130,5,2,0,2,2,53,613.9699999999999
307,1,0,0,6,52,0,0,6,3,0,14,5,1,0,296,24,111,2,0,1,4,6,29,661.01
314,0,0,0,8,79,1,0,10,2,0,7,9,2,1,277,14,114,2,0,0,0,4,58,688.0
320,0,5,0,12,66,0,0,5,2,0,13,6,0,4,247,23,82,2,1,0,0,2,37,606.9999999999999
326,0,1,0,8,52,1,1,4,0,1,12,2,0,0,217,29,117,4,0,0,0,5,25,579.02
328,2,2,1,10,63,0,0,7,2,3,12,8,5,2,246,32,119,4,0,2,3,0,31,653.99
330,0,2,1,12,67,4,0,7,1,0,7,6,3,1,265,46,141,3,1,0,0,1,28,695.9999999999999
338,2,0,0,10,88,4,0,8,1,1,15,8,4,2,202,37,129,2,1,0,2,9,45,669.99
339,0,1,1,8,79,1,0,2,0,0,14,3,3,4,210,25,96,1,1,0,1,1,39,589.9700000000004
343,1,1,0,6,45,3,0,2,1,1,18,2,4,1,202,44,91,3,1,0,0,8,34,567.97
344,0,3,0,6,46,1,0,4,1,1,13,7,1,2,239,39,114,2,2,1,1,4,22,609.0200000000001
345,4,0,0,11,53,1,0,6,1,0,14,5,6,0,208,37,121,0,0,1,0,5,22,594.9800000000001
347,0,3,0,12,78,0,0,2,2,0,13,12,1,1,201,32,105,1,1,1,3,5,43,615.9900000000004
348,2,2,0,9,60,1,1,5,0,2,20,6,1,1,219,43,123,0,0,0,0,3,44,641.9800000000001
352,1,0,0,5,68,2,0,9,1,1,19,2,0,2,263,25,111,3,0,0,0,1,14,627.01
354,0,0,0,10,61,0,0,4,3,0,15,4,1,1,251,31,108,2,0,0,1,4,39,635.0100000000001
355,0,5,0,13,61,2,2,13,4,1,11,8,0,0,214,35,80,2,0,0,2,12,43,607.99
360,0,0,0,7,51,0,0,2,0,0,8,3,4,1,208,14,91,3,0,0,3,3,19,517.01
364,0,2,0,3,56,1,0,0,0,0,9,2,6,0,255,13,82,0,1,2,1,3,17,552.9800000000001
369,0,1,0,6,67,0,0,11,2,1,12,7,1,2,287,37,81,0,0,0,1,9,60,685.0
378,0,2,0,10,55,1,0,12,0,2,19,3,4,1,178,30,99,0,1,0,2,5,43,567.0000000000001
379,0,1,0,6,53,0,0,6,0,0,10,0,0,2,229,23,92,1,0,1,2,6,55,586.9899999999999
380,0,1,0,5,58,1,0,2,2,0,11,1,0,1,205,22,90,0,0,1,0,7,30,536.9899999999999
382,0,1,0,8,61,2,0,3,2,1,15,1,4,0,230,23,110,2,1,0,1,6,40,611.0300000000001
400,0,4,0,9,35,1,0,3,4,0,12,1,4,2,277,28,121,3,0,0,2,4,28,637.99
406,1,1,0,6,48,2,0,4,6,0,14,5,4,1,245,21,88,1,0,1,0,7,46,601.0
409,0,1,0,10,65,0,0,7,4,0,23,6,2,1,318,37,111,1,2,0,1,5,42,736.0
410,1,0,0,7,93,0,0,7,0,2,6,7,1,0,217,30,87,0,0,1,2,10,47,617.9899999999999
416,0,2,0,12,83,2,0,4,1,1,13,7,2,1,219,19,88,2,0,0,3,3,63,624.9900000000001
418,2,1,0,13,77,1,1,9,0,1,17,3,5,1,245,35,117,1,0,1,0,4,59,693.0099999999999
419,0,0,1,13,79,3,0,5,0,1,14,0,1,1,188,32,105,0,0,1,1,3,35,583.0300000000001
420,0,0,1,8,76,3,0,9,4,0,15,8,3,2,223,35,117,1,0,0,0,7,52,664.01
423,0,0,1,12,92,2,0,6,0,0,17,4,1,4,177,27,89,0,0,1,2,9,65,609.0099999999999
430,0,3,0,15,54,1,0,11,3,1,16,5,1,3,311,30,80,1,0,0,0,2,52,689.0100000000001
431,1,1,0,12,93,1,0,3,1,0,7,5,2,4,176,27,81,3,1,0,1,4,57,580.04
432,0,5,0,12,120,0,0,8,0,1,5,21,1,5,132,23,82,3,0,0,2,10,50,580.01
434,1,1,0,10,69,0,0,2,2,1,8,6,0,1,173,14,113,2,0,0,2,3,39,546.99
437,0,0,0,2,28,0,0,3,2,2,12,9,1,1,168,24,112,0,1,0,1,1,35,502.03
438,0,0,1,1,13,0,0,1,0,2,1,0,0,0,44,4,18,0,0,0,0,1,7,193.02
439,0,1,0,1,17,0,2,3,0,0,4,1,2,0,116,4,11,1,0,0,0,3,18,283.98
441,0,1,0,1,6,0,0,0,0,0,1,0,1,0,26,3,6,0,0,1,1,2,5,153.98999999999995
445,0,2,0,4,21,0,0,0,0,1,1,1,2,0,79,2,19,0,0,0,0,3,3,237.99
446,0,1,0,1,12,0,1,0,0,1,0,1,1,0,35,3,9,0,1,0,1,0,4,171.01999999999995
2,0,7,0,5,98,0,0,14,1,1,8,17,2,0,121,36,88,0,0,3,1,15,64,581.01
6,1,5,0,5,94,3,0,11,0,0,19,13,3,2,153,46,100,1,3,0,1,8,59,627.0300000000002
7,0,0,0,8,77,1,0,6,1,0,29,11,0,0,188,56,94,1,0,1,4,5,67,648.98
11,0,4,0,9,54,0,0,3,0,1,11,9,3,0,151,33,83,2,1,0,5,6,39,513.98
12,0,3,0,11,51,2,0,4,1,1,19,12,2,2,162,79,95,0,0,0,0,4,32,580.02
13,3,2,0,3,45,1,0,6,2,0,9,6,2,1,120,41,53,2,0,1,0,1,22,420.02
16,0,7,1,6,75,2,0,11,0,3,19,11,0,0,135,36,105,2,0,1,0,0,45,559.02
21,1,3,0,11,63,0,0,13,0,0,21,9,2,4,204,42,108,2,2,0,2,6,67,660.0100000000002
23,0,7,0,14,92,7,0,15,2,0,14,10,1,0,174,47,81,2,0,0,1,17,73,657.0099999999999
34,1,2,0,8,52,2,0,5,1,0,17,1,5,2,217,30,91,1,0,0,1,2,39,577.01
41,0,0,0,10,92,4,0,15,3,0,23,14,0,1,175,37,128,3,0,0,2,4,68,679.0000000000001
45,0,6,0,20,125,2,1,7,1,2,8,18,0,0,175,37,94,1,2,0,2,7,68,676.01
48,0,2,0,19,114,2,0,12,1,0,20,6,0,1,132,31,89,6,0,0,2,9,65,610.9999999999999
50,0,1,0,11,123,3,0,14,1,0,12,14,1,3,126,32,68,0,1,2,2,7,75,595.9699999999999
52,1,6,0,17,116,3,0,10,0,1,11,9,1,3,143,30,56,1,1,2,3,0,86,600.0
56,0,9,0,4,81,5,0,9,2,2,13,9,1,4,154,33,84,1,0,1,1,5,39,557.0
59,1,7,1,8,82,1,0,10,1,4,14,7,1,1,151,33,84,0,0,1,2,6,38,552.99
60,0,4,0,10,60,1,0,9,0,0,15,9,1,5,143,46,77,3,4,0,0,8,38,532.99
63,0,0,1,16,75,1,0,8,5,0,5,7,1,0,197,45,117,1,0,0,3,3,31,615.9800000000001
66,0,2,0,13,71,4,1,4,5,2,23,11,4,3,263,49,111,1,0,2,1,9,54,733.01
75,3,2,1,11,69,5,0,13,1,3,19,15,0,1,194,43,101,1,0,0,2,5,45,634.0
77,0,2,0,5,77,1,0,2,0,4,16,8,1,3,187,32,130,1,1,2,1,8,58,639.0200000000002
78,0,0,0,8,82,2,0,6,3,3,11,4,1,1,186,28,124,3,1,0,1,3,37,604.0200000000002
83,0,0,0,4,64,1,0,10,0,2,13,8,3,1,184,31,98,0,0,0,2,4,34,559.0000000000001
85,0,2,0,6,61,5,0,7,0,1,13,12,1,1,160,71,69,3,0,0,3,3,51,568.9999999999999
88,0,2,0,4,51,1,0,6,1,3,25,10,1,1,141,68,100,3,0,2,0,1,26,545.9800000000001
89,0,3,0,13,59,0,1,8,2,0,18,5,1,4,165,49,68,0,2,1,1,1,73,573.9899999999999
91,1,2,0,9,58,0,0,5,3,1,14,6,0,2,182,55,102,1,3,1,1,4,44,593.97
97,0,0,0,9,73,1,0,6,0,0,14,9,1,1,131,50,87,2,1,1,0,4,46,536.0
100,0,0,0,4,73,2,0,4,2,0,13,7,0,0,159,37,82,3,2,1,1,4,34,527.9900000000001
102,0,1,0,6,99,2,0,3,0,1,26,10,1,1,228,43,80,1,2,1,1,5,49,660.0199999999999
104,1,1,0,16,94,2,1,11,0,2,17,16,1,2,223,41,79,2,0,0,4,1,68,681.97
105,0,1,1,9,87,3,0,4,2,0,16,13,4,4,182,33,99,2,0,1,6,8,47,622.0
108,0,2,0,8,39,0,0,6,0,1,16,5,4,4,249,29,108,3,2,0,2,4,35,616.9899999999999
113,2,0,1,18,71,1,0,4,1,2,14,5,1,2,213,32,110,4,1,1,1,5,51,640.0300000000002
114,0,8,0,6,119,4,0,8,1,0,9,12,3,3,199,50,80,3,1,0,6,5,56,672.99
121,0,5,0,12,73,2,0,10,3,1,11,9,4,0,184,33,92,0,0,0,1,3,50,592.99
125,1,0,0,12,49,2,0,3,0,0,14,1,2,0,207,50,106,1,0,0,2,3,30,582.9900000000001
126,1,3,0,11,73,0,0,11,1,0,14,9,2,2,199,26,92,0,2,0,2,6,57,610.9899999999998
128,0,0,0,8,71,2,1,4,1,1,12,5,1,1,214,32,90,1,0,0,2,4,37,587.0200000000001
129,0,1,0,7,85,4,0,5,1,3,13,2,1,2,220,30,129,3,0,0,2,12,39,659.0400000000001
142,0,1,0,13,124,3,0,12,0,0,5,11,0,1,93,14,54,3,3,0,5,10,48,500.0
143,2,1,0,14,100,2,0,7,1,1,8,22,2,5,136,43,84,4,0,1,3,3,63,602.01
144,1,4,0,12,111,4,0,11,0,2,18,19,2,3,153,28,78,4,0,0,0,10,64,623.9899999999999
146,0,0,0,14,109,2,0,10,0,0,16,22,0,1,129,39,76,0,0,0,2,4,62,586.0
148,1,3,0,12,67,1,0,1,0,3,21,17,1,1,153,50,82,1,0,0,3,7,39,563.0299999999999
149,0,2,0,3,60,4,0,9,0,0,16,18,1,2,151,49,74,3,0,0,1,1,55,548.9900000000001
154,0,5,0,16,106,3,0,6,1,1,5,16,1,4,155,30,56,3,1,1,2,11,105,628.0299999999999
158,1,2,0,21,124,4,0,15,4,0,8,12,1,5,148,29,85,2,0,0,2,5,90,658.01
159,1,2,1,15,154,3,0,22,4,1,3,28,1,3,125,21,61,4,1,0,4,13,93,660.0100000000001
160,2,1,1,17,88,2,0,27,1,2,7,18,2,1,140,35,74,0,0,0,3,10,61,592.01
161,0,0,0,12,91,3,0,18,2,0,12,18,1,1,148,30,60,3,0,0,2,12,95,607.98
164,0,6,0,10,131,2,0,14,2,1,11,21,2,4,134,16,69,3,2,0,4,7,89,628.02
166,0,2,0,13,137,3,0,16,2,0,5,11,0,4,157,26,60,1,1,0,1,14,58,611.0000000000001
169,0,5,0,8,70,1,1,6,0,0,9,9,2,3,167,34,94,3,0,0,1,4,50,566.99
170,0,0,0,10,73,2,0,3,0,0,12,7,1,2,189,22,95,3,0,0,2,10,55,586.02
174,3,1,0,15,70,4,0,8,0,0,15,9,0,1,213,36,83,0,0,0,2,7,69,636.02
176,0,1,0,13,80,2,0,8,2,0,9,8,1,2,154,35,74,0,0,1,1,1,58,549.9800000000001
178,0,2,0,15,68,1,1,7,0,2,14,6,0,0,218,24,90,2,0,0,2,7,54,612.9899999999999
181,2,2,0,9,80,1,0,10,1,0,11,12,2,2,191,27,89,1,1,0,1,12,41,594.96
186,0,1,0,13,72,0,0,5,3,2,11,7,5,0,188,33,106,2,4,0,3,4,48,606.9999999999999
187,0,5,0,12,67,4,0,9,5,2,10,2,1,0,206,35,99,0,1,2,1,6,53,619.97
190,1,3,0,13,131,4,0,17,2,1,7,20,0,6,120,30,69,0,0,1,0,6,90,620.9799999999999
191,0,6,0,17,128,4,0,20,1,0,4,25,0,4,120,20,70,3,1,3,1,15,98,640.0099999999999
192,0,5,0,21,113,2,0,12,0,0,9,14,2,6,150,33,89,3,2,1,2,9,73,646.0199999999999
193,0,2,0,19,154,2,0,15,3,1,7,36,1,0,89,16,65,1,1,0,4,22,123,661.01
200,1,1,0,9,76,3,0,7,0,2,30,15,2,2,307,45,182,1,1,0,3,10,63,859.9699999999999
203,1,0,0,17,74,0,0,5,3,1,23,6,1,0,277,24,124,3,2,1,2,4,23,691.0199999999999
206,0,1,0,12,62,1,0,4,0,0,13,15,2,0,249,25,104,1,0,0,2,5,48,644.01
207,3,0,0,10,76,1,0,8,2,2,18,8,3,2,272,32,184,0,0,2,1,2,44,770.01
211,2,1,1,8,65,2,0,10,1,0,10,5,2,1,293,32,141,1,0,1,3,6,57,742.02
212,3,1,1,17,108,1,1,9,2,0,14,12,3,2,308,37,181,1,1,0,5,7,91,904.97
214,0,1,2,15,82,1,0,8,0,2,11,2,1,1,266,30,105,3,1,0,2,1,40,673.9799999999999
215,0,0,0,8,63,0,1,8,1,0,8,6,3,0,222,23,90,1,0,1,0,2,51,587.9700000000001
223,0,0,0,15,61,1,0,4,2,2,6,3,1,3,260,34,96,2,3,0,1,2,32,628.01
228,0,2,1,7,72,2,0,1,1,2,10,1,2,0,264,15,82,1,1,1,3,3,12,583.0100000000001
229,0,1,0,16,62,2,0,6,1,0,10,7,0,1,251,31,90,1,1,1,0,4,46,631.0100000000001
230,2,0,2,13,72,3,0,6,3,2,18,6,0,1,284,20,153,1,0,0,2,5,41,734.02
231,0,0,1,10,65,1,1,6,2,0,8,0,1,0,203,15,101,1,0,2,3,2,26,547.9900000000001
236,0,0,1,7,50,0,0,3,3,1,12,4,3,3,306,24,92,1,0,0,1,1,12,623.99
237,0,5,1,13,65,1,1,5,2,1,21,11,1,2,436,23,207,1,0,0,2,8,55,961.02
244,1,1,0,12,74,3,2,4,0,1,17,0,3,0,273,13,138,1,1,0,3,3,39,689.0099999999998
247,0,1,0,21,69,5,0,5,1,2,18,6,2,1,247,30,165,0,2,0,6,9,45,734.99
249,0,0,0,11,49,1,0,3,0,0,15,3,2,2,273,29,96,0,0,0,2,6,39,630.99
250,1,0,1,15,50,0,1,5,1,0,7,0,0,2,274,34,112,0,0,0,2,4,26,634.9999999999999
255,0,1,0,10,59,0,0,4,1,2,7,3,1,0,244,27,123,3,1,0,0,1,38,624.9900000000001
260,0,1,0,11,47,3,0,2,1,1,15,1,1,1,180,26,101,0,0,0,4,3,38,536.01
261,0,2,0,5,69,0,0,4,0,0,10,4,5,1,144,44,93,0,0,0,0,2,18,501.0100000000001
263,0,1,5,18,73,2,1,9,4,1,17,4,2,2,196,42,98,1,0,0,4,12,52,644.01
264,1,0,0,6,74,3,1,6,1,0,22,6,5,0,238,43,170,2,0,1,1,4,47,731.01
276,5,1,0,9,62,0,0,6,1,1,13,7,3,2,210,41,125,1,0,0,2,2,44,634.9800000000001
287,0,0,0,7,43,2,1,1,0,1,19,7,3,1,237,27,92,3,0,0,0,2,35,581.0199999999999
289,0,5,0,9,40,0,0,4,0,1,32,7,8,1,242,41,112,1,0,0,1,8,27,639.0200000000001
295,0,0,0,4,46,0,0,2,2,1,12,3,3,1,200,23,94,1,0,0,0,1,25,518.01
298,0,0,3,6,80,4,0,4,1,0,16,3,3,5,293,40,138,1,0,0,1,4,30,731.99
300,1,1,1,8,59,0,0,6,3,1,8,7,3,0,241,24,88,1,0,0,1,3,27,583.0300000000002
303,0,0,0,8,62,0,1,10,1,4,12,8,4,0,258,22,90,2,1,1,1,3,41,629.0100000000002
305,1,0,0,9,38,1,0,4,1,1,14,1,3,0,234,28,130,0,1,0,3,4,33,606.0100000000001
306,0,1,0,8,43,0,0,9,1,0,15,4,3,0,326,32,89,3,1,0,2,4,32,672.97
308,1,1,0,5,40,0,0,3,0,1,16,4,1,1,294,32,105,1,1,0,0,3,38,646.99
309,0,2,0,3,52,0,0,4,3,0,7,2,2,0,321,19,71,1,0,0,5,7,36,634.9899999999999
311,2,0,0,5,53,0,0,7,0,0,19,4,2,0,302,26,72,3,0,0,0,0,33,628.02
313,1,1,0,8,80,4,0,3,1,2,12,2,1,4,286,27,99,3,0,1,2,8,47,692.0200000000001
318,0,2,0,7,65,2,0,6,1,1,13,12,4,1,208,18,111,1,1,0,0,6,30,588.9800000000001
321,0,0,0,7,58,1,0,4,1,0,21,7,1,2,272,34,112,5,0,2,1,2,39,669.0
324,0,2,0,13,58,1,0,4,2,1,8,6,2,1,240,17,110,0,0,0,1,6,45,616.9900000000001
325,0,0,0,5,71,2,0,9,3,2,21,5,4,0,247,29,107,2,1,0,1,2,15,625.99
334,1,1,0,8,53,2,0,3,0,0,24,0,2,2,240,34,97,2,0,0,1,3,30,603.01
335,0,0,0,4,60,3,0,6,3,2,13,7,0,1,191,41,104,0,0,0,2,11,38,586.0
336,0,2,0,11,77,3,0,10,3,1,18,5,0,1,251,31,77,0,0,0,1,11,51,652.98
340,0,1,0,10,50,0,1,1,0,1,11,4,2,0,199,31,86,2,1,1,0,6,19,525.98
342,1,2,0,9,58,2,0,5,0,0,16,5,1,1,203,31,85,1,0,1,1,4,27,552.9700000000001
349,0,4,1,5,61,0,1,2,2,1,12,1,3,2,178,22,117,1,0,0,1,2,14,530.02
351,1,1,0,7,58,0,0,3,0,0,19,5,3,0,256,19,129,2,0,0,1,6,25,634.99
356,0,0,0,3,41,1,0,2,0,2,14,4,3,1,230,13,90,3,2,0,0,6,37,551.98
361,0,0,1,10,47,1,0,3,0,1,12,4,1,2,305,18,90,2,0,0,1,3,22,622.9800000000001
362,0,0,0,7,47,2,0,0,0,0,10,2,3,2,250,44,104,1,2,1,0,1,38,613.9800000000001
363,0,1,2,6,65,3,0,1,2,0,15,2,5,0,175,2,90,0,1,0,0,10,17,496.98
365,2,2,0,7,45,1,0,6,1,3,24,3,8,0,253,24,97,3,2,0,0,8,32,621.01
367,0,1,0,4,90,2,0,5,0,0,13,10,0,4,230,29,63,0,1,0,0,10,60,622.01
368,0,2,0,8,73,0,0,9,1,0,20,10,1,1,293,35,121,2,1,1,2,4,55,739.01
371,0,2,1,9,81,1,1,5,3,1,13,1,1,6,284,28,74,0,0,0,1,12,70,694.0199999999999
373,0,1,0,5,66,8,0,6,0,0,8,5,3,1,201,31,104,1,0,1,2,9,55,607.0100000000001
376,2,3,0,12,69,2,0,3,1,2,16,4,0,0,194,28,106,2,0,0,0,9,40,593.0200000000001
377,0,0,0,7,50,0,0,4,1,2,13,2,2,0,250,31,111,3,0,0,2,8,41,627.01
381,0,1,0,6,72,0,2,5,1,1,14,6,4,2,178,20,90,2,0,0,1,7,27,539.03
383,0,1,0,6,68,1,0,5,1,1,13,1,6,0,226,18,81,3,1,0,1,6,26,565.0400000000001
385,0,1,1,9,67,2,0,5,1,1,10,13,1,2,239,24,96,0,0,0,4,7,56,639.0199999999999
386,1,3,1,5,57,5,1,4,1,1,23,5,3,3,254,21,120,1,2,0,4,8,53,675.9800000000001
387,0,0,0,8,74,1,0,4,2,0,15,9,1,2,198,30,91,0,0,0,2,12,75,623.9999999999999
388,2,1,0,5,60,2,2,3,0,2,11,7,2,1,211,35,112,3,0,2,3,8,46,618.0100000000001
392,1,3,0,9,68,1,1,2,0,0,11,6,1,0,181,20,84,0,1,0,5,2,41,537.0100000000001
393,0,0,1,5,54,0,0,3,1,0,16,6,2,2,240,23,117,1,0,1,0,4,12,587.9800000000001
398,0,3,1,6,77,1,0,6,0,1,18,6,1,1,228,20,94,2,0,0,1,11,46,622.98
399,1,5,0,7,61,1,0,6,2,2,15,2,4,1,296,21,78,4,0,0,2,21,33,662.0300000000001
401,0,0,0,14,61,2,0,5,3,2,8,2,0,1,282,16,106,1,0,1,3,6,26,639.0200000000001
402,0,0,0,10,49,1,0,3,0,4,3,1,8,2,248,27,94,5,0,0,2,5,20,581.9899999999998
412,0,3,1,15,103,2,0,13,0,2,16,18,1,6,163,22,104,3,0,0,3,6,86,667.0099999999999
413,0,5,0,4,63,3,0,9,1,2,12,3,0,1,175,32,132,0,0,0,1,9,39,590.9700000000001
415,0,0,0,8,99,1,0,6,1,0,13,6,2,1,205,24,103,2,0,0,3,16,65,654.99
417,0,2,0,11,84,1,0,13,1,0,18,14,0,6,254,24,90,1,0,1,5,2,63,689.9999999999999
421,0,4,0,7,69,1,0,8,5,2,16,9,2,5,231,24,102,0,0,0,3,6,44,638.01
424,0,1,0,7,44,0,0,2,0,0,6,3,0,0,232,25,84,2,0,1,0,2,42,550.99
425,1,5,0,11,66,0,0,6,1,1,15,12,1,3,260,19,104,2,0,0,0,5,45,657.0
426,0,0,1,5,55,0,0,3,3,2,15,5,5,2,178,28,109,2,0,0,1,5,24,543.02
428,0,1,0,6,62,0,0,4,0,1,20,7,1,2,249,23,123,0,0,2,2,3,63,669.0000000000001
433,0,1,0,16,105,1,0,11,2,0,16,8,0,0,173,14,86,1,0,1,1,1,58,594.9800000000001
440,0,0,0,2,28,2,0,0,0,0,6,1,2,2,91,5,17,0,0,0,1,3,11,270.98
442,0,0,1,5,15,1,0,0,2,0,0,0,2,0,51,5,31,1,0,0,1,2,8,225.00000000000003
