SEZIONE,Alternativa Municipale,"Beppe Sala Sindaco Noi, Milano",Fuxia People Maria Teresa Bald,Giorgia Meloni per Parisi,Io corro per Milano Lista Civ.,Italia dei Valori per B. Sala,Lega Nord Lega Lomb. Salvini,Milano Popolare Parisi Sindaco,Milano in Comune Rizzo Sindaco,Movimento 5 Stelle,Noi x Milano Mardegan Sindaco,Partito Comunista dei Lavorato,Partito Democratico Beppe Sala,Pensionati,Per Parisi Forza Italia Berl.,Radicali con Cappato Sindaco,Sinistra x Milano,TOTALE,AFFLUENZA
370,1,31,0,1,8,4,43,9,29,50,3,4,156,1,53,4,45,442,0.6461988304093568
371,1,23,0,7,5,1,22,3,4,27,0,3,74,0,63,1,15,249,0.4322916666666667
372,0,95,0,22,22,5,31,14,12,22,5,1,147,3,83,17,30,509,0.5079840319361277
373,0,43,0,10,33,2,26,23,12,22,7,0,118,1,86,7,10,400,0.4778972520908005
375,1,58,1,12,14,5,48,16,10,42,2,0,126,2,72,14,34,457,0.4755463059313215
377,2,19,1,9,5,5,75,14,14,47,3,0,121,1,96,6,12,430,0.6116642958748222
378,0,55,0,9,19,3,35,15,12,26,0,0,110,0,80,7,17,388,0.49238578680203043
379,5,63,0,7,38,4,37,15,11,27,4,1,125,1,104,14,17,473,0.5130151843817787
381,0,43,0,9,23,1,44,18,5,23,2,1,112,1,97,10,12,401,0.48902439024390243
383,0,24,3,20,10,4,50,8,26,95,4,5,141,3,95,6,10,504,0.4980237154150198
384,3,52,2,11,18,3,41,10,14,32,9,0,139,0,75,15,21,445,0.5216881594372802
385,0,33,0,7,15,1,36,22,9,28,1,0,95,1,64,6,12,330,0.46218487394957986
386,0,53,5,21,10,2,51,15,7,38,1,1,169,3,96,15,21,508,0.5269709543568465
387,1,56,2,16,11,5,31,14,16,33,4,0,133,0,64,8,21,415,0.5168119551681195
388,7,54,1,12,17,5,42,18,8,33,7,3,154,2,75,11,26,475,0.5129589632829373
389,5,72,0,11,19,2,36,13,18,32,7,0,166,1,89,13,13,497,0.5509977827050998
391,3,62,0,11,26,3,49,20,7,32,6,0,128,2,138,6,17,510,0.5182926829268293
393,0,43,1,10,16,4,40,16,10,41,4,0,99,3,131,12,9,439,0.4787350054525627
394,0,24,1,7,13,2,30,1,9,32,2,5,91,1,47,2,8,275,0.4590984974958264
396,2,17,0,5,3,3,40,16,17,59,4,1,112,4,80,4,16,383,0.5182679296346414
397,0,64,1,12,27,2,28,17,12,18,4,1,166,0,68,6,4,430,0.47200878155872666
399,1,55,3,6,33,2,41,15,11,24,4,0,136,0,104,2,24,461,0.5032751091703057
400,0,46,1,16,26,3,51,13,4,15,5,1,150,1,114,7,14,467,0.4503375120540019
401,1,45,3,13,21,0,38,9,20,17,2,0,117,0,79,10,10,385,0.44508670520231214
402,1,25,0,2,8,1,13,4,3,5,2,0,26,0,15,2,6,113,0.14543114543114544
403,1,54,1,8,13,5,42,16,17,38,5,1,119,2,61,9,16,408,0.4981684981684982
406,2,66,1,18,22,1,51,23,7,20,3,1,169,2,104,9,15,514,0.498545101842871
407,0,54,0,10,12,4,34,9,4,34,1,2,122,0,97,7,17,407,0.4903614457831325
409,0,52,1,9,12,0,33,15,10,31,8,2,132,0,98,7,19,429,0.4880546075085324
411,0,25,2,3,16,2,41,15,8,38,3,0,97,0,80,7,10,347,0.4596026490066225
414,0,45,2,7,10,3,39,14,26,30,10,2,115,1,90,11,13,418,0.48604651162790696
415,3,54,0,14,34,1,34,6,7,21,6,2,116,1,82,5,11,397,0.4829683698296837
416,0,33,0,6,8,5,24,5,8,35,9,3,94,1,42,13,19,305,0.3900255754475703
417,7,35,1,18,12,1,38,9,16,30,4,1,126,1,67,10,18,394,0.46904761904761905
418,0,52,0,16,37,2,42,8,13,20,6,1,140,0,76,20,25,458,0.475103734439834
422,0,30,1,6,21,2,17,9,5,20,3,1,85,0,62,4,8,274,0.3959537572254335
423,1,62,0,15,41,5,49,10,7,25,15,2,166,2,136,5,23,564,0.5540275049115914
424,1,47,0,5,26,1,23,9,8,9,2,0,104,2,69,6,9,321,0.4856278366111952
425,0,45,0,17,52,6,53,13,7,37,15,0,168,1,147,10,15,586,0.5293586269196026
426,1,22,0,1,10,0,17,6,9,17,1,0,67,0,40,6,6,203,0.3548951048951049
427,1,43,4,12,36,2,37,17,5,23,4,2,127,1,127,7,17,465,0.5326460481099656
428,2,35,0,4,8,2,32,6,19,42,3,2,91,2,62,9,13,332,0.4579310344827586
430,3,31,2,11,17,1,38,12,22,42,8,1,116,0,75,7,24,410,0.5256410256410257
431,0,39,0,9,19,2,40,11,12,33,7,0,129,0,77,5,16,399,0.512853470437018
433,1,63,0,5,23,4,54,11,14,37,6,0,131,2,111,14,17,493,0.5423542354235423
435,0,30,0,9,26,9,36,20,16,42,0,1,147,1,78,4,10,429,0.4525316455696203
436,0,40,0,8,23,2,38,6,9,16,2,0,92,0,73,11,16,336,0.467966573816156
437,2,49,1,7,27,1,42,9,8,23,5,0,128,0,111,7,10,430,0.5149700598802395
438,1,54,1,17,14,5,52,17,15,51,6,3,128,1,96,11,13,485,0.5192719486081371
439,1,28,0,9,8,1,72,22,12,58,3,1,137,4,101,3,19,479,0.5635294117647058
440,0,30,0,7,4,2,10,3,4,20,2,0,98,0,30,7,20,237,0.37205651491365777
441,2,43,4,15,20,2,57,16,11,30,17,0,153,1,107,13,28,519,0.5148809523809523
444,2,29,1,8,14,4,40,8,24,33,27,3,158,3,73,13,14,454,0.5989445910290238
446,0,35,0,11,13,2,33,10,16,33,32,0,133,0,75,9,11,413,0.5149625935162094
447,0,20,1,6,8,1,23,9,7,31,3,3,75,1,36,1,4,229,0.3338192419825073
449,3,43,0,17,11,4,23,10,6,11,16,1,110,1,105,11,9,381,0.5114093959731544
450,0,44,4,7,16,1,56,14,15,35,18,1,169,2,102,11,22,517,0.5541264737406216
451,0,23,0,4,10,2,16,6,4,7,24,0,62,0,50,4,2,214,0.26097560975609757
452,0,40,0,7,7,1,45,10,10,38,17,0,136,1,54,6,19,391,0.48692403486924035
453,1,41,0,2,5,6,50,28,21,54,0,4,139,1,95,4,10,461,0.6557610241820768
454,0,23,1,12,16,2,38,12,19,32,7,1,134,3,73,8,25,406,0.5321100917431193
457,0,52,2,9,33,2,36,27,11,41,9,0,151,4,98,16,13,504,0.4850818094321463
458,1,39,0,11,18,2,24,17,15,36,9,2,140,2,88,4,15,423,0.520935960591133
460,1,14,0,6,7,2,45,9,5,6,0,0,93,1,100,0,9,298,0.4167832167832168
461,4,67,0,14,29,1,38,9,13,30,7,2,165,4,81,9,22,495,0.5232558139534884
462,3,50,0,13,22,2,54,23,20,28,8,0,169,0,73,8,30,503,0.5317124735729387
465,7,12,0,15,7,2,65,8,15,71,0,4,106,2,86,11,3,414,0.5454545454545454
467,1,34,0,10,13,5,39,11,23,43,15,1,138,2,61,17,24,437,0.5214797136038186
468,3,40,1,5,20,3,26,13,26,54,10,3,129,3,51,17,33,437,0.49715585893060293
469,1,38,2,9,17,3,37,7,14,30,1,0,148,0,85,14,26,432,0.5307125307125307
474,0,23,2,5,15,0,33,9,25,30,15,2,113,1,53,13,37,376,0.456865127582017
477,0,60,2,9,13,2,40,7,15,37,18,0,157,1,115,10,21,507,0.5303347280334728
479,1,49,0,12,21,4,53,16,18,51,4,2,166,2,117,10,20,546,0.527536231884058
480,1,45,0,9,21,2,34,15,19,49,8,0,126,3,85,11,14,442,0.52
482,3,30,4,8,19,4,96,22,26,84,6,1,115,1,151,2,24,596,0.6300211416490487
483,0,44,0,15,14,5,52,17,10,34,7,0,135,3,88,3,12,439,0.4761388286334056
484,1,51,1,5,20,2,38,12,19,29,7,2,160,1,82,10,30,470,0.5389908256880734
485,3,41,2,12,25,4,67,10,17,36,1,4,100,0,82,10,8,422,0.4845005740528129
487,0,35,1,18,15,3,70,11,26,82,21,1,121,1,91,13,16,525,0.4785779398359161
488,0,41,0,4,11,4,44,6,19,51,8,2,134,0,52,11,23,410,0.5157232704402516
489,0,36,0,10,23,2,60,23,23,56,9,0,121,4,100,8,25,500,0.5213764337851929
490,1,30,0,12,14,3,33,20,9,27,14,3,127,1,76,6,7,383,0.5046113306982872
493,0,33,0,7,13,7,54,10,7,57,11,3,115,2,66,3,17,405,0.45866364665911663
495,2,35,1,5,14,0,38,8,18,29,2,0,107,0,69,17,20,365,0.4596977329974811
498,1,45,0,9,10,3,40,5,23,47,2,0,130,1,54,14,31,415,0.47266514806378135
499,4,54,0,7,20,1,26,14,22,32,6,2,141,1,67,6,19,422,0.5197044334975369
501,0,58,0,5,28,3,29,5,16,12,4,0,121,3,71,7,6,368,0.45714285714285713
502,0,45,0,8,22,2,53,13,5,33,2,0,126,2,135,8,12,466,0.4957446808510638
504,2,29,0,11,16,4,48,11,36,72,5,1,176,3,76,21,11,522,0.5618945102260495
505,4,43,0,8,27,3,33,27,25,21,9,3,110,0,67,13,19,412,0.46924829157175396
506,4,44,0,3,14,2,17,9,10,16,2,1,39,3,53,4,15,236,0.3282336578581363
508,0,31,0,18,14,1,47,14,17,42,4,1,134,0,97,14,26,460,0.5032822757111597
510,2,26,0,8,7,2,67,9,18,50,1,3,166,2,88,3,5,457,0.5240825688073395
511,0,33,0,21,10,1,84,17,38,79,5,0,187,3,114,3,13,608,0.5502262443438914
512,0,59,0,14,33,2,24,11,10,14,3,0,120,0,81,6,18,395,0.47023809523809523
514,0,50,2,8,39,1,26,21,14,31,14,2,83,1,105,12,9,418,0.4659977703455964
515,0,52,1,13,32,1,32,11,3,18,1,0,145,2,83,17,9,420,0.48331415420023016
518,4,20,0,6,5,2,38,9,6,36,4,2,104,3,109,0,3,351,0.4612352168199737
519,1,23,0,6,22,4,24,13,15,21,1,3,83,0,57,11,9,293,0.43928035982008995
521,1,36,2,19,6,0,40,15,5,23,6,0,106,1,63,8,10,341,0.4383033419023136
523,2,53,2,14,29,0,32,20,21,17,6,0,121,3,67,11,14,412,0.48699763593380613
525,0,41,1,10,14,3,34,17,14,29,4,1,100,1,103,15,16,403,0.48263473053892214
526,0,37,2,7,5,1,27,9,22,38,0,1,127,3,63,13,20,375,0.4807692307692308
530,0,4,1,1,0,1,3,2,2,1,0,1,12,0,6,1,0,35,35.0
532,3,33,0,11,6,8,48,13,11,64,3,0,109,1,111,10,11,442,0.5212264150943396
534,1,48,1,12,28,4,31,16,4,24,7,0,107,0,124,6,9,422,0.45278969957081544
535,1,16,0,16,29,5,22,8,2,19,3,0,54,0,71,9,7,262,0.4388609715242881
537,0,5,0,0,0,0,3,1,0,4,1,0,24,0,11,2,0,51,0.0794392523364486
538,3,27,0,9,2,5,78,23,19,68,1,3,144,0,116,4,7,509,0.5790671217292378
539,1,25,2,7,6,0,25,10,2,27,4,1,89,3,67,4,15,288,0.4939965694682676
540,0,56,1,8,28,3,33,33,11,20,3,0,132,1,90,8,27,454,0.4690082644628099
541,1,12,0,2,2,1,23,6,8,28,10,2,58,2,103,7,0,265,0.42673107890499196
542,0,23,1,5,13,0,32,24,10,30,4,2,112,1,62,12,11,342,0.42857142857142855
543,1,21,2,6,5,5,83,13,32,78,3,3,145,0,81,10,32,520,0.6139315230224321
547,2,44,1,6,17,5,54,14,18,46,6,1,141,1,86,8,34,484,0.491869918699187
548,2,16,0,13,15,0,34,15,2,2,4,0,101,0,53,3,11,271,0.363758389261745
549,1,27,1,2,6,5,53,5,6,38,1,0,80,5,50,0,3,283,0.4528
550,2,41,1,6,9,1,41,11,18,50,0,0,167,4,81,13,26,471,0.4865702479338843
551,1,22,0,11,15,6,39,7,21,55,6,2,127,1,46,6,38,403,0.5724431818181818
552,3,18,0,12,9,4,58,6,8,42,4,4,110,2,84,10,6,380,0.48717948717948717
555,3,49,0,7,11,2,29,6,21,42,0,3,106,2,62,5,28,376,0.4814340588988476
556,5,34,2,17,16,1,49,22,17,39,3,1,136,2,71,10,30,455,0.4478346456692913
558,3,40,1,13,5,2,33,12,25,48,0,2,100,3,63,5,35,390,0.46099290780141844
561,1,24,1,3,12,1,31,9,17,37,8,1,87,1,45,9,22,309,0.4081902245706737
562,0,34,1,6,9,5,44,3,24,48,2,3,138,6,86,11,36,456,0.4676923076923077
564,2,28,0,22,8,2,40,14,11,37,9,1,135,0,80,3,11,403,0.5900439238653001
566,1,14,1,13,16,1,38,13,1,26,2,0,67,0,72,5,6,276,0.3988439306358382
567,1,37,2,13,18,3,51,13,14,47,4,1,176,2,146,6,24,558,0.5929861849096706
568,0,18,0,8,7,0,13,4,11,23,6,0,44,1,43,3,4,185,0.3008130081300813
569,1,25,0,7,10,3,18,13,4,26,4,0,71,1,69,4,11,267,0.38808139534883723
570,1,27,1,16,14,2,48,15,13,36,2,3,144,0,101,3,5,431,0.5871934604904632
571,4,17,0,10,12,3,29,9,10,34,4,1,81,2,74,8,18,316,0.4431977559607293
573,2,27,0,6,16,3,35,5,10,28,4,2,108,1,74,5,16,342,0.4956521739130435
574,0,18,2,18,7,1,48,12,7,27,4,2,122,0,92,4,18,382,0.5113788487282463
575,1,55,0,11,22,5,60,17,5,27,9,2,122,2,108,1,19,466,0.5424912689173458
580,0,34,0,5,13,0,30,12,12,30,6,0,130,3,59,10,33,377,0.46948941469489414
582,1,31,0,6,11,1,42,10,7,19,5,0,112,1,70,9,12,337,0.5282131661442007
583,0,17,3,2,4,2,56,6,8,46,3,2,128,2,79,1,3,362,0.530791788856305
585,2,34,0,16,15,1,43,15,9,27,6,0,104,1,92,2,13,380,0.46798029556650245
586,0,27,0,9,18,2,38,16,4,17,10,0,111,1,103,15,23,394,0.4925
589,0,37,0,9,21,4,41,15,9,38,11,0,106,2,104,14,21,432,0.4007421150278293
590,2,32,0,7,11,4,44,8,12,32,3,3,122,0,62,10,20,372,0.4361078546307151
592,0,21,0,5,13,0,38,8,10,46,1,1,70,0,75,9,13,310,0.4732824427480916
594,0,43,0,13,17,2,50,13,16,29,2,2,132,2,81,9,22,433,0.4926052332195677
596,2,40,0,16,12,4,28,10,8,26,5,1,107,1,58,9,21,348,0.5170876671619614
600,2,18,0,10,7,2,52,15,7,59,2,2,128,1,100,2,5,412,0.5364583333333334
601,1,37,2,10,22,4,50,21,16,41,3,1,120,0,85,18,23,454,0.47789473684210526
603,1,52,0,22,17,1,62,21,16,29,9,1,170,0,95,17,25,538,0.5223300970873787
604,1,54,0,12,16,3,37,11,14,43,5,2,160,1,63,6,33,461,0.5099557522123894
608,1,30,3,12,10,3,52,26,17,54,10,0,106,1,98,13,15,451,0.451
610,2,32,1,17,16,2,50,5,12,28,4,3,99,0,65,6,11,353,0.4508301404853129
613,0,48,1,15,7,4,53,13,21,34,2,1,149,2,100,7,15,472,0.545664739884393
614,0,35,1,11,14,4,51,9,13,28,5,0,151,5,63,10,26,426,0.4890929965556831
615,2,27,0,14,5,1,69,17,13,60,7,2,119,3,111,7,8,465,0.5201342281879194
616,2,45,2,11,13,6,33,28,22,33,0,0,166,1,79,16,22,479,0.48432760364004046
617,2,34,1,19,16,3,70,8,30,52,6,1,149,5,105,6,20,527,0.5410677618069816
621,2,49,6,12,27,13,41,20,14,28,4,1,128,0,104,13,18,480,0.5015673981191222
622,0,18,0,10,3,4,61,4,11,35,4,3,59,2,82,4,6,306,0.42323651452282157
624,0,36,2,16,24,4,67,9,9,18,1,0,158,4,98,6,18,470,0.5119825708061002
625,0,52,2,15,18,4,27,11,13,38,14,2,185,1,89,18,32,521,0.5398963730569948
627,1,18,2,10,3,2,58,11,5,74,4,0,124,4,95,12,14,437,0.4960272417707151
631,3,42,1,17,15,2,61,21,25,36,4,1,146,0,97,12,19,502,0.4897560975609756
633,2,32,0,11,9,3,54,8,17,60,2,3,165,2,98,3,13,482,0.5446327683615819
634,3,40,2,12,13,4,50,9,16,48,1,1,149,0,66,17,28,459,0.48986125933831376
635,0,33,1,12,6,2,58,14,27,53,4,2,153,1,76,5,8,455,0.5893782383419689
636,3,45,1,16,22,6,36,14,20,29,9,1,130,0,76,15,24,447,0.5050847457627119
638,0,30,1,12,10,6,39,6,15,31,2,1,146,0,60,10,22,391,0.5032175032175032
641,0,46,0,9,15,4,41,15,11,24,3,2,171,1,83,3,24,452,0.522543352601156
642,1,46,2,11,11,6,44,10,20,41,4,2,159,1,88,18,28,492,0.5290322580645161
644,0,25,0,8,8,8,55,4,11,44,2,4,91,2,65,8,5,340,0.4409857328145266
646,4,29,0,10,8,3,73,13,23,107,11,2,160,0,88,5,19,555,0.5138888888888888
648,2,36,0,17,16,1,52,11,8,18,3,1,108,1,110,2,12,398,0.5527777777777778
649,3,46,0,16,34,2,31,24,18,26,7,1,149,2,94,8,29,490,0.5671296296296297
651,2,27,0,5,5,3,25,10,19,39,3,3,113,0,66,11,22,353,0.49232914923291493
652,2,39,5,11,12,1,38,9,13,32,1,2,146,0,108,18,20,457,0.4972796517954298
655,2,27,1,12,15,6,37,15,24,35,1,1,147,1,83,11,38,456,0.5016501650165016
657,0,19,0,11,4,3,54,9,21,51,4,5,130,1,43,7,13,375,0.5403458213256485
659,1,55,0,16,21,4,27,9,12,38,0,1,127,1,93,13,20,438,0.5171192443919717
662,0,46,1,12,17,8,55,15,7,29,5,2,184,1,98,12,42,534,0.5674814027630181
663,2,38,0,8,14,1,36,15,15,38,4,2,140,1,86,8,29,437,0.5040369088811996
665,2,44,3,9,22,3,33,17,21,32,6,2,162,0,87,13,33,489,0.5620689655172414
666,1,12,0,4,2,2,9,1,4,7,1,0,37,0,21,4,5,110,0.35714285714285715
667,14,31,1,14,12,4,58,30,12,63,6,3,161,1,85,3,6,504,0.5813148788927336
668,0,44,0,22,25,3,46,9,13,34,5,0,164,2,96,13,22,498,0.5209205020920502
669,0,38,0,26,17,3,57,10,15,52,8,5,204,2,120,10,25,592,0.5362318840579711
671,2,47,1,11,32,21,44,19,18,20,6,2,159,0,69,20,15,486,0.5436241610738255
673,2,49,1,11,19,4,41,19,29,40,6,1,170,1,76,12,39,520,0.5531914893617021
674,0,31,1,11,15,7,47,14,20,34,3,0,144,0,82,12,31,452,0.49077090119435396
675,1,36,0,7,20,1,31,9,22,43,5,0,125,1,75,14,42,432,0.5274725274725275
676,3,35,1,8,25,0,35,11,10,33,10,0,133,0,74,12,23,413,0.4975903614457831
678,3,34,0,19,27,0,36,14,19,18,10,1,132,0,57,8,26,404,0.5146496815286624
679,6,51,1,11,4,6,67,11,17,50,9,0,171,2,95,8,15,524,0.6121495327102804
680,0,28,0,11,23,4,48,8,15,34,1,4,142,1,97,18,17,451,0.5096045197740113
684,1,47,2,12,12,2,34,10,14,36,8,0,128,1,113,9,19,448,0.5005586592178771
686,1,43,0,16,8,2,33,5,8,23,4,1,93,0,85,6,20,348,0.5072886297376094
687,1,47,0,11,13,2,51,9,12,42,1,0,114,2,71,16,25,417,0.49524940617577196
690,0,33,0,11,13,2,50,12,17,38,8,1,101,1,103,11,21,422,0.5417201540436457
692,3,57,0,19,12,4,44,16,16,46,3,2,160,3,109,10,28,532,0.5507246376811594
693,1,37,1,21,9,2,43,9,22,36,3,1,121,0,80,10,24,420,0.5048076923076923
696,0,28,0,13,4,4,41,5,13,29,2,1,102,2,71,5,14,334,0.4730878186968839
698,0,28,1,15,5,1,50,8,25,29,6,3,129,1,82,10,20,413,0.4922526817640048
699,4,34,0,6,10,6,50,5,10,47,2,9,132,5,75,7,16,418,0.5205479452054794
700,1,49,1,14,10,3,57,11,17,37,7,0,125,1,65,13,27,438,0.453416149068323
701,2,31,1,7,25,3,39,6,8,24,2,1,113,1,119,10,8,400,0.45146726862302483
702,0,29,1,6,10,7,57,3,15,39,5,4,118,4,75,2,21,396,0.5089974293059126
703,2,24,0,10,15,2,56,10,22,44,3,0,114,2,66,11,20,401,0.49142156862745096
704,2,26,0,16,10,2,54,9,24,31,6,1,94,1,84,10,38,408,0.5224071702944942
705,2,25,0,13,8,1,43,6,27,61,3,2,109,2,70,12,23,407,0.4635535307517084
706,2,25,0,15,4,2,45,1,24,28,3,1,74,0,72,1,9,306,0.4722222222222222
707,1,37,2,11,6,2,56,3,20,36,2,2,108,1,82,9,19,397,0.5025316455696203
709,0,32,0,7,12,3,47,14,21,27,3,1,151,0,71,16,25,430,0.4799107142857143
711,5,36,4,15,19,5,65,24,21,92,3,3,169,0,69,5,22,557,0.48519163763066203
712,2,47,2,9,15,3,54,18,20,44,5,1,125,1,97,8,21,472,0.4816326530612245
713,0,36,0,6,7,2,42,6,26,31,3,0,146,2,60,9,21,397,0.4777376654632972
715,1,28,0,4,8,3,39,6,17,26,8,0,108,1,56,9,23,337,0.4835007173601148
716,1,16,1,11,3,3,50,9,17,55,9,2,151,3,102,5,11,449,0.5468940316686967
717,1,25,0,24,8,5,29,9,9,66,2,1,99,2,62,2,9,353,0.5316265060240963
718,0,29,4,15,14,3,43,4,35,39,4,1,74,1,72,10,25,373,0.4863102998696219
719,0,36,1,6,10,5,19,0,16,49,2,2,92,1,70,9,21,339,0.48567335243553006
721,0,28,0,17,20,4,42,7,18,33,1,3,93,1,64,11,32,374,0.4560975609756098
724,0,33,0,8,11,2,33,8,18,21,2,2,99,0,39,6,18,300,0.5128205128205128
725,0,19,3,13,12,2,40,8,23,25,11,3,126,3,71,8,31,398,0.5223097112860893
726,2,27,1,7,36,4,47,13,13,81,4,1,130,4,85,0,11,466,0.5628019323671497
727,0,41,0,12,21,4,42,18,27,29,13,1,135,2,81,13,38,477,0.5831295843520783
728,6,36,0,15,17,1,43,16,16,24,4,0,132,2,77,14,27,430,0.5180722891566265
729,0,17,0,14,14,3,51,9,5,45,4,0,115,4,100,15,8,404,0.5012406947890818
731,0,36,1,11,23,2,40,19,28,35,8,1,128,1,60,5,29,427,0.5011737089201878
734,3,35,0,12,14,3,35,17,25,40,12,1,118,3,78,14,22,432,0.4859392575928009
736,2,36,2,11,17,3,53,13,17,39,2,0,141,1,75,11,22,445,0.4900881057268722
738,1,24,0,9,2,1,30,10,12,41,1,1,72,2,117,3,13,339,0.5120845921450151
739,0,27,1,6,7,2,24,2,19,36,3,1,124,1,56,7,33,349,0.4908579465541491
740,1,30,2,23,14,1,59,27,10,40,4,3,149,1,84,6,22,476,0.5483870967741935
741,0,30,1,12,7,0,45,5,24,36,6,0,101,0,78,9,17,371,0.47870967741935483
743,1,16,0,9,7,2,66,4,29,47,0,0,83,2,75,3,25,369,0.44781553398058255
746,1,21,2,11,11,8,53,10,18,48,8,4,106,0,82,11,18,412,0.4676503972758229
747,3,30,3,12,21,2,93,19,17,55,3,0,142,1,134,10,30,575,0.5698711595639246
748,1,15,1,8,15,1,35,8,18,42,1,0,83,4,65,7,29,333,0.451831750339213
749,1,21,0,6,5,2,34,6,13,34,1,2,72,1,69,10,25,302,0.3842239185750636
751,1,18,3,10,4,3,62,9,18,39,1,2,93,1,68,9,20,361,0.4604591836734694
752,4,33,2,11,8,4,42,10,33,41,0,0,132,3,89,5,18,435,0.5160142348754448
753,0,24,3,10,2,1,58,9,21,51,7,1,102,1,88,8,27,413,0.5067484662576687
755,2,35,2,10,3,3,47,21,18,73,4,5,145,1,127,12,8,516,0.5645514223194749
756,2,17,0,8,8,1,45,11,28,35,1,2,76,2,60,4,24,324,0.4550561797752809
760,0,33,1,9,7,0,58,14,25,59,2,9,134,1,74,14,32,472,0.5227021040974529
762,3,26,0,11,7,4,54,4,23,46,0,4,75,3,46,10,26,342,0.45660881174899864
765,1,16,0,10,4,1,32,9,23,29,1,2,60,0,66,3,23,280,0.44871794871794873
766,8,24,0,11,12,5,64,11,12,68,1,1,143,1,99,10,5,475,0.5349099099099099
767,0,27,5,31,5,2,73,3,12,46,7,0,107,0,93,8,19,438,0.509895227008149
770,2,28,1,5,5,2,49,6,18,26,2,1,108,0,68,4,18,343,0.42345679012345677
