SEZIONE,+Europa,Casapound Italia,Civica Popolare Lorenzin,Forza Italia,Fratelli d'Italia con Giorgia ,Il Popolo della Famiglia,Italia Europa Insieme,Italia agli Italiani,Lega,Liberi e Uguali,Movimento 5 Stelle,Noi con l'Italia - UDC,Partito Democratico,Partito Repubblicano Italiano ,Per Una Sinistra Rivoluzionari,Potere al Popolo!,TOTALE,AFFLUENZA
1,45,7,2,142,26,1,4,3,79,8,39,7,105,1,0,2,471,0.5587188612099644
2,4,2,0,49,9,0,0,3,82,5,46,2,42,0,0,1,245,0.4390681003584229
3,17,5,2,61,17,2,0,3,127,26,142,1,123,0,1,6,533,0.5863586358635864
4,10,7,2,43,16,9,3,0,100,21,184,4,95,0,2,4,500,0.6097560975609756
5,3,3,5,115,70,3,53,2,21,9,61,7,121,0,0,3,476,0.4423791821561338
6,26,1,6,52,10,8,7,8,123,43,144,4,137,0,2,9,580,0.6297502714440825
7,47,1,4,137,24,0,3,2,61,12,37,5,215,1,0,2,551,0.560528992878942
8,39,0,3,68,22,2,6,2,69,24,76,2,142,0,1,11,467,0.6251673360107095
9,33,1,6,84,19,4,4,0,53,6,25,6,99,0,0,2,342,0.434010152284264
10,1,0,1,14,7,1,1,0,13,3,6,0,19,0,0,1,67,inf
11,17,5,0,68,11,1,2,3,127,20,136,2,96,0,0,1,489,0.5500562429696289
12,8,2,2,42,20,0,2,3,82,16,109,10,86,1,0,0,383,0.5471428571428572
13,75,5,1,126,17,2,4,3,77,12,43,7,177,1,0,5,555,0.5854430379746836
14,13,1,1,61,13,0,5,0,132,12,121,5,65,0,0,1,430,0.48642533936651583
15,11,1,0,41,11,0,0,0,34,4,22,0,57,1,0,0,182,0.48404255319148937
16,62,4,2,118,14,1,3,3,73,23,50,1,152,2,0,3,511,0.5621562156215621
17,3,0,1,7,0,0,0,0,4,2,12,0,14,0,0,0,43,inf
18,23,3,1,71,18,1,8,4,107,35,94,3,152,0,3,3,526,0.6743589743589744
19,21,7,1,58,15,3,5,3,109,22,105,8,160,0,1,9,527,0.6244075829383886
20,18,3,1,60,13,0,5,5,90,16,124,1,134,0,1,6,477,0.62109375
21,0,0,0,2,4,0,0,0,3,1,10,0,10,0,0,0,30,0.5
22,69,2,5,110,18,1,3,3,50,11,24,3,147,0,0,2,448,0.5167243367935409
23,38,4,0,69,28,4,3,2,112,27,198,8,125,0,0,3,621,0.617296222664016
24,63,3,3,117,20,4,6,4,41,14,41,4,191,1,1,2,515,0.5899198167239404
25,11,2,1,62,13,1,2,1,97,21,112,7,121,0,0,3,454,0.627939142461964
26,60,1,4,87,12,4,1,2,58,6,31,1,168,0,1,0,436,0.5782493368700266
27,84,6,1,93,26,6,0,2,72,26,49,8,201,1,0,6,581,0.624731182795699
28,48,1,2,80,14,1,3,1,50,16,38,4,147,1,1,7,414,0.5341935483870968
29,24,6,0,72,27,15,0,5,124,23,158,5,97,1,1,4,562,0.6189427312775331
30,13,4,3,79,18,1,2,3,90,14,97,11,109,0,0,2,446,0.601078167115903
31,23,8,0,44,9,1,6,3,92,41,80,5,128,0,1,15,456,0.6204081632653061
32,47,4,2,98,38,0,5,3,119,33,175,11,201,2,0,7,745,0.6675627240143369
33,16,4,2,55,12,3,2,7,85,18,93,1,131,1,0,10,440,0.5781865965834428
34,2,0,0,10,1,0,0,0,8,3,5,0,16,0,0,0,45,inf
35,43,1,1,47,24,4,3,4,79,25,130,14,149,0,2,4,530,0.6821106821106822
36,82,3,2,108,19,5,8,2,71,23,25,5,189,1,0,2,545,0.5860215053763441
37,27,9,4,68,28,4,3,3,131,11,216,6,112,0,3,11,636,0.6996699669966997
38,45,4,1,103,27,3,9,0,102,28,130,13,183,1,1,9,659,0.6843198338525441
39,93,3,2,102,21,3,6,4,73,25,56,6,170,0,1,5,570,0.6089743589743589
40,34,0,1,38,23,0,1,3,47,9,81,12,134,2,0,6,391,0.5708029197080292
41,80,1,4,84,26,3,3,0,61,22,43,8,156,0,1,6,498,0.6327827191867853
42,45,1,1,62,21,2,7,1,57,20,70,3,174,0,0,7,471,0.6148825065274152
43,42,5,0,93,10,0,6,6,30,8,31,4,148,1,0,1,385,0.5859969558599696
44,60,1,3,109,19,3,2,5,48,15,27,10,161,2,0,2,467,0.5779702970297029
45,2,0,0,11,0,1,1,2,13,1,16,0,12,0,1,0,60,1.2765957446808511
46,70,1,2,119,25,1,14,1,73,13,39,4,183,0,1,0,546,0.5852090032154341
47,54,2,1,96,20,2,2,1,42,8,29,5,149,3,1,1,416,0.5326504481434059
48,44,1,3,88,22,3,3,2,55,7,35,6,152,1,0,1,423,0.5190184049079755
49,0,0,1,11,5,0,1,1,11,2,5,0,13,0,0,1,51,inf
50,3,0,0,15,7,1,1,0,19,4,26,2,23,0,0,0,101,inf
54,1,0,0,4,1,0,0,0,6,0,3,0,6,0,0,0,21,inf
55,54,4,5,100,21,0,5,2,103,23,71,8,182,0,0,6,584,0.6245989304812835
56,60,7,4,125,17,2,6,2,70,11,44,6,166,0,0,2,522,0.4715447154471545
57,67,3,2,133,24,5,5,4,60,17,63,3,195,2,1,4,588,0.6377440347071583
58,57,4,3,106,28,0,2,0,71,13,22,2,160,0,0,0,468,0.5441860465116279
59,18,2,3,70,18,1,8,3,114,20,102,1,158,0,2,4,524,0.6477132262051916
61,56,1,1,140,32,2,4,3,100,9,48,5,206,0,0,2,609,0.5901162790697675
64,11,7,1,68,3,2,1,3,71,27,92,3,75,2,3,7,376,0.5784615384615385
65,58,1,1,58,21,0,2,4,44,18,43,2,160,0,0,3,415,0.5213567839195979
66,11,12,1,44,12,0,0,2,87,18,121,2,103,0,1,9,423,0.5916083916083916
69,70,1,3,118,22,1,11,4,47,15,41,5,152,0,0,1,491,0.5354416575790621
72,4,7,1,40,12,3,15,1,96,21,91,4,136,0,0,4,435,0.6041666666666666
73,40,1,4,109,13,5,2,0,62,5,26,4,116,0,0,0,387,0.5301369863013699
74,13,2,2,44,15,2,4,2,82,18,84,0,122,0,1,6,397,0.6098310291858678
78,56,1,2,131,15,2,1,3,67,6,20,1,96,0,1,0,402,0.48028673835125446
79,38,2,2,137,17,0,0,0,45,2,20,6,103,0,0,0,372,0.5422740524781341
80,32,5,4,82,22,0,1,2,78,23,94,5,108,1,1,2,460,0.5430932703659976
82,49,4,2,140,23,0,5,2,65,5,13,1,142,0,1,0,452,0.5387365911799762
83,62,2,5,138,18,0,4,6,46,5,31,3,160,1,1,0,482,0.5496009122006842
84,8,0,2,59,23,0,0,7,111,25,109,13,133,0,1,9,500,0.6435006435006435
86,27,3,2,60,14,2,2,5,105,20,71,2,92,2,2,13,422,0.5452196382428941
87,70,7,1,217,20,1,1,2,72,6,36,6,143,1,0,0,583,0.5682261208576999
88,37,2,6,93,31,2,4,3,120,34,138,18,189,1,0,9,687,0.6656976744186046
91,40,4,6,108,28,0,6,2,88,27,78,0,145,0,3,5,540,0.6293706293706294
92,24,5,3,67,13,1,4,2,112,29,123,2,124,0,2,8,519,0.6253012048192771
93,59,2,4,176,29,3,7,3,66,11,37,13,181,4,0,4,599,0.5895669291338582
94,56,2,3,114,16,1,3,4,62,21,42,4,158,1,1,6,494,0.6017052375152253
97,10,4,2,78,14,2,3,3,119,19,120,5,124,0,0,6,509,0.6177184466019418
99,56,5,2,150,14,2,4,1,58,19,38,13,162,1,0,5,530,0.6113033448673587
100,28,3,1,62,20,3,2,0,110,28,144,15,173,0,2,7,598,0.6622369878183831
104,80,2,1,127,27,11,1,1,92,15,73,11,169,1,1,11,623,0.6223776223776224
105,23,3,1,64,12,2,10,2,74,24,90,6,123,0,1,2,437,0.6278735632183908
106,73,5,4,84,19,2,8,2,67,30,72,15,177,1,0,2,561,0.6124454148471615
109,59,2,3,150,30,0,4,1,66,15,43,7,200,1,0,5,586,0.5825049701789264
110,81,3,4,92,21,2,3,1,67,23,45,6,151,1,0,8,508,0.6054827175208581
111,53,2,2,95,25,2,6,3,88,11,51,10,169,0,0,4,521,0.6100702576112412
112,68,3,1,79,24,1,4,2,70,18,68,1,158,0,1,9,507,0.5957696827262045
113,84,6,5,91,24,3,7,2,95,33,101,14,178,3,2,7,655,0.579133510167993
114,72,6,3,105,22,1,4,6,97,20,55,3,169,0,0,2,565,0.6471935853379153
116,58,3,1,88,16,1,4,0,57,17,62,7,152,0,2,3,471,0.6101036269430051
117,15,1,3,85,24,7,2,6,142,49,167,11,122,0,1,11,646,0.6247582205029013
119,11,4,4,83,10,0,0,2,84,13,105,2,74,0,0,4,396,0.5849335302806499
120,17,3,1,80,25,1,2,4,130,30,124,3,135,2,6,8,571,0.67018779342723
122,66,1,1,85,28,0,3,0,58,26,70,2,161,1,1,6,509,0.6095808383233533
123,56,3,1,97,26,5,2,1,84,22,73,6,157,1,1,5,540,0.5980066445182725
125,32,6,2,85,24,1,2,2,144,21,125,11,164,1,1,7,628,0.622398414271556
126,71,4,0,80,28,1,8,2,68,33,69,11,202,2,0,3,582,0.6353711790393013
128,64,5,0,99,25,4,1,2,94,16,71,5,196,4,1,9,596,0.5803310613437196
129,71,2,0,115,25,0,8,3,73,27,59,22,190,0,2,2,599,0.600802407221665
130,73,5,2,102,24,0,6,1,71,32,57,8,180,1,1,8,571,0.6394176931690929
131,6,3,2,89,27,4,61,4,57,18,77,7,201,1,0,1,558,0.6619217081850534
135,17,3,10,88,11,4,2,2,77,17,110,13,114,0,2,4,474,0.5569917743830788
138,31,5,3,72,21,2,3,1,93,17,77,3,100,0,0,9,437,0.548306148055207
139,19,3,1,92,22,1,4,2,92,11,90,2,110,1,1,5,456,0.5816326530612245
140,65,1,3,100,29,1,4,0,84,28,103,8,169,1,2,12,610,0.6301652892561983
141,89,2,3,80,29,1,5,1,80,29,87,2,185,0,1,6,600,0.6141248720573184
142,70,2,1,94,34,1,5,2,69,22,65,5,172,0,2,9,553,0.5802728226652676
144,7,2,1,61,18,2,1,7,98,17,110,2,98,0,0,5,429,0.582089552238806
146,79,3,4,80,17,3,8,1,52,26,57,8,214,0,1,12,565,0.6319910514541387
147,44,2,1,94,24,1,0,2,83,28,62,6,157,1,0,2,507,0.6213235294117647
149,63,9,0,114,26,0,11,2,80,30,75,6,190,0,1,10,617,0.645397489539749
151,56,0,1,85,11,4,3,2,65,18,72,1,145,0,0,8,471,0.5850931677018634
152,48,1,3,64,21,2,4,0,66,28,70,4,164,0,1,5,481,0.5809178743961353
153,47,0,0,53,16,2,2,2,59,23,45,5,117,0,0,2,373,0.5977564102564102
157,70,0,3,100,24,1,6,1,70,19,63,5,162,1,1,6,532,0.5911111111111111
158,62,0,2,72,23,0,6,0,69,0,0,7,162,0,0,0,403,0.4548532731376975
160,22,7,1,60,21,2,3,0,44,14,53,4,109,0,1,7,348,0.3741935483870968
161,2,2,0,42,7,0,0,2,33,1,34,2,27,0,0,1,153,0.4146341463414634
162,3,0,0,13,4,0,1,2,17,5,12,3,20,0,2,0,82,82.0
164,45,2,3,105,29,1,10,1,47,13,28,2,140,0,0,4,430,0.6125356125356125
167,65,3,4,105,17,2,10,3,43,15,32,6,145,0,0,3,453,0.5292056074766355
168,44,7,2,67,28,3,4,1,82,9,56,13,110,0,2,3,431,0.5414572864321608
169,40,1,2,63,8,4,3,3,71,32,90,12,154,0,0,6,489,0.5835322195704057
172,7,1,2,80,14,2,6,10,105,11,98,2,98,1,2,1,440,0.5986394557823129
173,19,4,0,44,16,0,2,0,44,10,29,4,86,1,0,3,262,0.265989847715736
175,65,2,4,76,40,4,6,3,74,23,71,10,184,1,2,12,577,0.6073684210526316
177,15,1,1,55,9,0,4,2,93,18,103,4,108,0,3,4,420,0.6167400881057269
179,76,5,4,104,20,3,2,0,54,17,36,5,184,0,1,4,515,0.5832389580973952
181,44,1,3,71,25,6,9,3,147,31,180,23,187,0,1,7,738,0.6923076923076923
182,61,4,2,116,31,0,3,3,63,22,54,14,124,0,0,3,500,0.6112469437652812
184,76,1,2,94,17,1,1,4,97,30,74,9,162,0,1,5,574,0.6178686759956943
185,58,0,4,69,17,2,9,0,85,27,56,2,158,0,0,4,491,0.6069221260815822
186,64,2,2,76,9,4,5,0,94,36,78,4,174,1,1,6,556,0.6450116009280742
187,47,3,1,70,18,0,5,0,70,19,87,5,123,0,1,3,452,0.600265604249668
188,57,2,1,106,24,1,3,5,86,32,82,6,170,2,1,13,591,0.6293929712460063
189,66,1,5,80,10,0,4,2,78,21,78,3,127,1,1,6,483,0.5833333333333334
190,45,4,5,70,26,1,2,5,84,25,93,7,154,2,0,8,531,0.6670854271356784
191,61,7,7,96,19,5,6,4,76,22,50,10,183,3,1,2,552,0.6626650660264105
193,78,2,2,108,28,5,3,1,79,32,81,16,186,1,0,4,626,0.6336032388663968
195,50,1,2,66,16,0,1,5,85,21,69,7,151,2,1,9,486,0.6295336787564767
196,55,3,1,60,24,2,1,3,79,17,66,8,127,1,0,4,451,0.5895424836601307
197,12,1,2,75,5,1,2,2,108,7,135,1,122,0,1,2,476,0.6025316455696202
198,57,6,1,84,29,2,4,0,63,24,61,11,169,2,0,4,517,0.6206482593037215
199,17,4,2,60,8,1,1,4,100,18,80,1,120,0,0,6,422,0.6423135464231354
200,78,5,2,59,21,2,5,2,58,21,65,2,144,1,1,8,474,0.6261558784676354
201,77,3,5,57,26,1,3,2,62,37,87,1,149,1,2,11,524,0.6143024618991794
204,22,7,1,93,23,4,8,2,131,19,148,6,162,0,2,5,633,0.6292246520874751
205,3,1,0,64,5,2,1,4,120,11,129,1,103,1,2,3,450,0.6122448979591837
206,58,4,3,75,24,0,6,1,99,27,73,2,142,0,3,9,526,0.6583229036295369
207,62,2,1,52,19,0,4,2,59,27,51,6,146,1,1,12,445,0.4790096878363832
208,55,4,1,50,25,1,0,1,81,27,85,3,164,0,1,7,505,0.5764840182648402
212,52,4,2,77,21,1,6,3,62,23,56,16,148,3,0,3,477,0.6146907216494846
213,40,2,2,48,14,1,4,0,63,25,66,8,140,2,0,7,422,0.5473411154345007
214,15,2,3,54,22,2,4,2,126,15,102,4,107,0,4,2,464,0.6287262872628726
215,82,0,1,54,23,1,8,3,73,34,102,4,249,0,0,12,646,0.6031746031746031
217,51,1,4,73,20,1,4,3,78,17,57,11,163,0,2,5,490,0.582639714625446
220,62,0,12,81,14,4,4,2,44,12,33,11,187,0,0,3,469,0.5944233206590621
221,9,6,2,61,14,2,1,6,77,18,123,7,90,1,2,8,427,0.5988779803646563
223,91,3,5,126,29,3,3,0,66,17,33,26,267,1,0,4,674,0.603401969561325
224,64,3,6,101,13,2,4,2,44,11,37,10,186,0,0,3,486,0.6394736842105263
226,65,8,4,97,14,2,1,0,59,12,29,10,169,0,0,6,476,0.5957446808510638
229,60,5,5,90,18,4,7,1,69,9,29,8,121,0,0,3,429,0.5868673050615595
230,87,1,3,80,33,1,4,0,63,21,68,0,211,1,2,8,583,0.6323210412147505
232,37,4,5,82,25,0,2,3,101,24,67,8,129,0,0,4,491,0.6716826265389877
234,43,2,3,66,22,0,2,0,58,23,63,4,118,1,1,4,410,0.5086848635235732
235,47,2,0,69,18,4,3,1,56,9,50,1,124,0,1,1,386,0.6117274167987322
236,66,1,2,63,17,5,2,2,65,13,57,4,165,0,0,2,464,0.6065359477124183
237,74,2,1,63,20,0,7,4,52,25,65,0,172,0,3,8,496,0.5862884160756501
238,43,2,1,88,18,5,5,1,100,17,102,6,150,1,1,5,545,0.5779427359490986
240,48,3,1,68,21,2,3,2,71,22,94,5,139,2,3,4,488,0.5615650172612198
242,73,5,7,118,24,5,1,6,78,17,90,4,203,0,1,15,647,0.6121097445600757
243,53,7,1,74,11,1,7,2,68,14,74,8,145,0,2,4,471,0.628
246,67,0,1,51,15,1,2,1,50,34,52,3,155,0,0,10,442,0.5717981888745148
250,48,1,1,75,18,1,6,4,64,26,58,5,164,0,1,8,480,0.5896805896805897
251,1,1,0,13,0,1,0,1,8,1,5,3,4,1,1,0,40,0.20725388601036268
252,79,6,2,66,18,2,4,2,57,23,51,5,149,2,1,8,475,0.536723163841808
257,65,0,3,74,17,2,8,3,56,39,46,6,172,0,3,4,498,0.570446735395189
259,10,4,2,65,10,1,2,5,87,18,89,3,135,2,2,5,440,0.6951026856240127
262,27,3,3,86,26,2,3,6,86,10,82,10,140,1,0,1,486,0.6454183266932271
263,80,5,3,95,11,3,11,0,66,26,65,7,178,1,2,6,559,0.5972222222222222
264,111,1,5,71,17,1,6,2,79,42,66,6,198,0,3,14,622,0.5998071359691417
265,83,2,4,75,21,1,5,3,74,30,73,6,219,1,0,10,607,0.6082164328657315
269,98,1,4,79,22,0,13,3,61,30,51,2,200,0,2,6,572,0.5977011494252874
271,61,5,3,73,30,0,4,7,80,22,87,3,194,0,1,6,576,0.7944827586206896
272,43,4,1,74,15,3,6,2,62,13,58,5,112,0,0,6,404,0.5771428571428572
274,23,2,2,46,24,2,0,5,58,18,45,7,125,0,2,3,362,0.5682888540031397
277,28,5,2,73,20,0,1,5,95,27,79,5,168,0,3,0,511,0.5735129068462402
279,91,8,0,98,13,2,5,1,64,27,69,4,198,2,1,9,592,0.5769980506822612
280,81,3,4,81,23,0,3,2,80,36,71,3,185,0,2,18,592,0.6103092783505155
281,89,1,1,83,12,0,5,1,80,40,93,3,172,0,1,26,607,0.6137512639029322
282,22,3,0,55,20,0,2,3,85,16,87,2,84,0,1,6,386,0.603125
284,43,3,1,79,22,1,3,4,62,17,86,3,131,0,2,10,467,0.5653753026634383
286,62,7,3,62,13,2,8,1,74,13,73,0,137,0,1,17,473,0.4978947368421053
288,29,3,1,51,15,0,2,3,65,18,85,1,89,0,0,10,372,0.5061224489795918
291,51,1,0,68,19,0,2,4,61,34,80,10,128,0,1,12,471,0.596958174904943
292,39,3,5,55,6,3,2,4,57,23,63,7,135,0,1,11,414,0.575
294,60,1,2,88,23,4,6,4,84,15,82,8,186,1,0,2,566,0.621978021978022
295,19,2,0,80,17,0,2,1,122,24,107,2,109,1,1,9,496,0.6215538847117794
297,9,1,3,73,14,4,2,2,86,12,101,4,90,0,0,3,404,0.599406528189911
299,70,1,2,44,18,0,16,0,46,26,71,4,161,2,0,15,476,0.5833333333333334
300,125,1,0,64,23,1,5,3,68,32,90,0,190,0,3,12,617,0.5978682170542635
301,69,7,1,84,22,2,5,3,73,27,84,11,169,0,2,12,571,0.5559883154819864
303,57,3,2,48,13,0,9,0,48,22,54,2,139,0,2,7,406,0.5012345679012346
305,31,1,3,93,33,6,5,3,92,23,76,7,203,3,1,4,584,0.5934959349593496
306,76,3,5,52,15,0,3,3,56,23,58,7,179,1,0,19,500,0.5605381165919282
309,59,7,1,51,17,1,5,3,44,21,52,3,192,1,0,6,463,0.6005188067444877
311,78,4,1,102,29,1,8,2,118,27,96,4,236,0,2,10,718,0.637089618456078
313,45,1,3,79,19,1,2,1,87,29,103,6,138,0,3,8,525,0.582039911308204
315,51,0,1,66,21,1,3,1,57,17,64,1,170,0,0,5,458,0.5826972010178118
316,48,1,1,65,16,0,2,4,62,21,74,5,102,1,0,9,411,0.524904214559387
317,44,1,0,60,24,0,4,3,38,13,33,0,139,0,0,9,368,0.4842105263157895
319,82,3,0,69,16,0,7,1,81,28,69,4,188,0,2,14,564,0.5887265135699373
320,44,2,0,45,12,0,2,3,46,13,58,3,135,0,0,2,365,0.5538694992412747
321,35,4,0,61,25,5,5,1,100,29,156,25,161,0,2,7,616,0.6215943491422805
322,54,2,0,80,34,3,5,2,79,16,60,1,147,2,1,5,491,0.6689373297002725
323,55,2,0,82,23,0,4,2,67,18,47,5,158,1,3,9,476,0.6246719160104987
324,68,3,2,72,12,2,2,2,56,25,43,4,194,0,0,1,486,0.6411609498680739
325,62,5,3,91,26,4,2,1,77,24,72,3,147,0,0,3,520,0.6467661691542289
326,31,6,2,60,15,1,5,0,73,30,83,1,112,0,0,8,427,0.6401799100449775
327,64,5,1,78,18,0,4,4,71,16,61,6,141,2,1,5,477,0.6292875989445911
329,24,7,0,62,17,7,8,4,137,28,136,7,118,1,1,9,566,0.6118918918918919
331,73,1,1,109,25,2,6,3,76,14,66,4,178,0,0,10,568,0.5941422594142259
333,75,3,3,121,28,0,6,1,54,9,29,13,197,0,0,2,541,0.5945054945054945
334,63,4,7,135,26,4,1,4,55,9,43,14,185,1,2,4,557,0.5760082730093071
335,19,3,4,87,16,2,3,3,89,39,79,3,206,1,1,4,559,0.6759371221281741
336,66,1,3,141,22,1,3,5,64,11,32,6,201,1,0,1,558,0.5993555316863588
337,56,2,1,125,13,5,3,2,68,6,15,7,179,0,0,0,482,0.5928659286592866
338,56,2,5,151,23,3,7,2,74,7,24,6,187,0,1,1,549,0.5993449781659389
340,11,2,3,89,15,1,2,4,97,12,126,2,124,0,0,4,492,0.5412541254125413
342,97,4,1,111,25,4,6,2,53,16,35,2,179,0,0,2,537,0.5792880258899676
343,29,13,6,68,30,2,7,2,142,32,170,4,146,0,3,8,662,0.6874350986500519
345,56,3,4,115,18,2,4,4,68,9,29,9,179,0,0,1,501,0.5329787234042553
346,52,0,5,127,27,1,4,2,62,15,25,1,219,0,0,3,543,0.6107986501687289
348,61,6,3,83,26,1,8,3,65,19,68,1,139,2,0,6,491,0.5965978128797084
350,79,2,7,164,25,3,10,5,74,4,35,8,228,2,0,0,646,0.6065727699530516
351,78,1,2,118,20,0,7,7,76,12,40,8,190,0,1,3,563,0.6508670520231213
353,89,4,3,84,23,0,9,1,65,15,41,2,168,0,0,5,509,0.589803012746234
354,56,1,3,96,17,0,5,4,68,16,50,2,142,2,0,3,465,0.6258411843876177
357,58,0,1,64,12,5,3,1,30,8,23,7,131,0,1,2,346,0.5234493192133132
362,88,0,6,101,19,2,8,5,79,19,53,12,191,2,1,6,592,0.6284501061571125
363,63,3,4,79,23,0,2,3,85,27,90,3,199,0,1,9,591,0.635483870967742
364,39,1,2,68,19,2,4,3,101,21,97,9,203,0,0,3,572,0.6842105263157895
365,71,7,2,104,26,2,4,2,87,28,71,1,164,1,1,7,578,0.6148936170212767
366,16,4,1,67,15,2,3,3,140,15,127,2,177,0,0,3,575,0.7090012330456227
367,56,1,0,96,24,4,2,1,72,26,43,5,196,0,1,2,529,0.6305125148986889
368,78,3,3,82,23,1,3,3,48,27,55,7,144,0,1,7,485,0.6092964824120602
370,27,4,2,46,20,0,5,3,71,41,87,4,147,0,3,10,470,0.6791907514450867
371,27,1,1,58,16,0,2,2,41,9,43,1,97,1,0,2,301,0.5084459459459459
372,77,5,6,105,24,1,6,0,69,32,68,5,252,2,0,1,653,0.6491053677932406
