SEZIONE,TOTALE_ISCRITTI,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE INGROIA,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,PENSIONATI,IL POPOLO DELLA LIBERTA',LEGA NORD,LA DESTRA STORACE,FARE PER FERMARE IL DECLINO,CASAPOUND ITALIA,FIAMMA TRICOLORE,MOVIMENTO 5 STELLE BEPPEGRILLO,FINI - FUTURO E LIBERTA',SCELTA CIVICA CON MONTI,CASINI - LIBERTAS - UDC,FN - FORZA NUOVA,TOTALE,AFFLUENZA
685,807,30,1,200,19,0,15,3,104,9,4,8,1,0,150,2,64,6,1,617,0.7645600991325898
686,816,45,4,160,22,0,6,11,93,12,1,8,0,0,168,1,61,2,1,595,0.7291666666666666
687,895,46,9,198,24,0,16,5,140,8,0,15,1,0,162,1,46,5,3,679,0.758659217877095
688,783,44,2,203,24,0,6,3,89,18,3,5,2,0,143,1,49,6,1,599,0.7650063856960408
689,753,45,0,175,29,0,3,2,67,7,4,8,1,0,140,4,34,2,1,522,0.6932270916334662
690,778,50,1,150,14,0,21,7,100,20,4,5,2,3,170,3,50,3,0,603,0.7750642673521851
691,736,19,3,137,13,0,5,4,117,10,3,1,0,0,125,4,40,29,1,511,0.6942934782608695
692,539,16,2,95,8,1,4,3,91,6,3,1,1,1,114,1,17,5,0,369,0.6846011131725418
693,702,14,2,119,7,1,8,5,127,13,0,6,1,1,135,3,35,5,1,483,0.688034188034188
694,541,17,3,89,10,0,7,2,91,5,4,0,1,3,110,1,27,5,0,375,0.6931608133086876
695,847,21,3,168,12,0,13,9,126,16,1,3,1,0,156,2,30,7,2,570,0.6729634002361276
696,632,33,2,127,10,1,3,2,111,5,3,4,0,1,96,4,31,3,3,439,0.694620253164557
697,647,13,3,136,10,0,7,9,126,17,1,2,3,2,114,3,29,7,1,483,0.7465224111282844
698,847,28,1,116,29,1,9,6,118,20,7,10,0,3,159,0,40,0,2,549,0.6481700118063755
699,799,31,3,196,16,0,10,9,106,11,2,2,2,1,147,7,58,5,1,607,0.7596996245306633
700,720,27,1,158,12,0,4,5,113,12,4,3,0,0,127,2,47,5,0,520,0.7222222222222222
701,633,16,0,125,19,0,8,10,98,16,1,6,5,1,114,0,30,2,1,452,0.7140600315955766
702,941,28,5,191,13,0,8,9,131,6,1,2,2,1,180,2,45,4,2,630,0.6695005313496281
703,737,23,1,151,10,0,10,6,119,8,0,2,4,1,155,2,50,4,3,549,0.7449118046132972
704,604,35,1,141,15,1,12,4,63,12,0,2,0,0,117,2,22,2,1,430,0.7119205298013245
705,516,20,2,76,12,0,8,5,67,7,3,2,0,0,130,0,28,4,1,365,0.7073643410852714
706,468,12,2,86,8,0,14,4,53,3,3,2,0,0,82,1,35,1,2,308,0.6581196581196581
707,619,30,1,106,20,1,11,6,89,5,1,5,0,2,106,4,36,3,0,426,0.6882067851373183
708,351,4,2,22,1,0,1,0,20,2,1,2,0,0,32,2,8,0,2,99,0.28205128205128205
709,540,31,0,130,15,0,10,5,65,7,1,12,2,0,82,0,54,5,0,419,0.7759259259259259
710,560,31,1,117,14,0,12,4,70,12,4,10,0,0,87,0,81,0,0,443,0.7910714285714285
711,572,25,4,143,10,0,10,2,67,6,2,13,3,0,104,3,62,1,1,456,0.7972027972027972
712,489,18,1,95,5,0,11,0,77,13,0,8,2,0,96,1,52,3,0,382,0.7811860940695297
713,797,27,0,182,11,0,7,5,91,23,0,24,0,0,155,3,85,1,0,614,0.7703889585947302
714,1042,40,1,214,13,0,24,6,116,25,0,16,1,1,226,5,103,6,1,798,0.7658349328214972
715,572,13,1,112,9,0,17,2,79,23,2,14,0,0,106,2,62,3,0,445,0.777972027972028
716,426,20,0,101,7,0,21,3,55,16,1,14,0,0,51,2,58,2,1,352,0.8262910798122066
717,442,26,1,96,5,1,18,1,80,14,0,18,0,1,59,2,63,4,0,389,0.8800904977375565
718,391,6,0,84,8,0,19,0,56,10,1,8,0,0,47,2,56,8,0,305,0.7800511508951407
719,551,19,0,95,5,3,6,0,69,16,1,18,1,0,58,1,119,6,0,417,0.7568058076225045
720,561,30,2,105,9,0,10,3,89,16,3,12,1,2,100,2,71,1,1,457,0.8146167557932263
721,235,14,0,42,6,0,4,0,22,16,0,13,0,0,34,0,29,2,0,182,0.774468085106383
722,754,30,3,191,15,0,23,6,99,12,1,42,0,2,122,1,101,8,1,657,0.8713527851458885
723,543,17,1,74,2,0,30,2,97,23,3,16,0,0,63,1,110,6,1,446,0.8213627992633518
724,692,64,2,149,18,0,11,1,81,11,3,9,0,1,94,1,45,3,1,494,0.7138728323699421
725,717,60,5,117,20,1,8,5,62,9,2,4,0,1,115,2,29,6,2,448,0.6248256624825662
726,582,64,2,122,26,0,5,1,57,3,3,9,0,0,99,3,28,1,1,424,0.7285223367697594
727,644,47,1,184,17,3,8,7,67,9,0,14,0,0,84,3,48,1,0,493,0.765527950310559
728,624,57,1,109,23,0,2,10,57,7,0,9,0,0,122,0,39,0,0,436,0.6987179487179487
729,737,72,1,162,19,0,5,5,76,7,1,5,3,4,124,2,57,2,1,546,0.7408412483039348
730,818,61,1,169,33,1,10,5,97,21,2,11,1,1,148,1,54,6,0,622,0.7603911980440098
731,676,56,0,152,16,3,9,3,81,6,1,13,2,0,101,2,68,11,1,525,0.7766272189349113
732,819,72,0,196,19,1,11,5,120,12,1,15,1,3,134,2,52,0,1,645,0.7875457875457875
733,768,39,1,149,11,1,16,1,117,24,0,32,1,0,116,4,115,7,0,634,0.8255208333333334
734,712,49,0,131,17,1,18,2,102,19,3,10,0,0,88,1,98,2,0,541,0.7598314606741573
735,845,41,0,153,8,0,20,0,117,17,0,17,3,0,93,5,161,6,1,642,0.7597633136094675
736,830,49,3,148,15,1,23,4,102,18,2,30,0,0,104,3,129,2,2,635,0.7650602409638554
737,649,34,2,149,14,0,24,0,69,10,2,21,1,1,107,0,86,5,0,525,0.8089368258859785
738,758,24,2,164,11,1,19,1,94,15,3,13,3,0,96,4,158,5,0,613,0.8087071240105541
739,710,38,2,159,9,0,12,3,100,14,0,27,0,0,79,0,115,9,2,569,0.8014084507042254
740,676,23,3,159,14,0,19,2,78,14,2,14,1,0,97,2,111,2,0,541,0.8002958579881657
741,142,0,2,10,0,0,1,4,4,0,0,0,0,2,4,4,3,6,0,40,0.28169014084507044
742,1072,66,3,254,26,1,7,3,103,13,2,8,3,0,260,6,70,5,1,831,0.7751865671641791
743,843,30,8,166,11,0,32,1,137,23,2,40,0,1,86,0,186,6,1,730,0.8659549228944247
744,834,20,2,133,11,1,34,4,153,21,6,35,2,2,81,0,178,9,3,695,0.8333333333333334
745,551,26,3,96,17,0,15,1,78,9,0,7,1,0,59,3,100,12,0,427,0.7749546279491834
746,685,63,2,169,23,1,10,2,67,10,0,12,3,0,131,1,37,5,2,538,0.7854014598540145
747,817,45,3,173,19,0,14,3,100,9,2,31,2,0,128,4,109,2,0,644,0.7882496940024479
748,750,51,0,190,30,0,9,4,65,7,2,14,2,3,170,1,63,1,0,612,0.816
749,737,44,1,140,18,0,13,4,101,23,1,11,1,1,130,5,87,6,1,587,0.7964721845318861
750,718,47,1,176,16,0,9,4,79,16,1,6,0,0,123,5,77,4,0,564,0.7855153203342619
751,829,53,1,199,18,0,7,1,71,16,3,7,0,1,177,2,77,6,1,640,0.7720144752714113
752,757,50,6,169,17,0,11,3,87,21,5,27,3,1,118,2,96,5,1,622,0.821664464993395
753,666,34,2,143,25,2,13,7,91,10,2,13,0,2,102,2,61,4,0,513,0.7702702702702703
754,762,39,1,125,14,1,15,2,97,17,0,9,3,2,116,1,107,5,1,555,0.7283464566929134
755,716,41,2,188,20,1,11,3,60,15,1,11,1,1,127,2,63,7,1,555,0.7751396648044693
756,770,41,1,186,19,0,10,6,91,13,6,12,0,0,119,3,87,7,0,601,0.7805194805194805
757,691,45,0,144,20,0,12,6,100,16,1,10,2,2,109,1,62,4,1,535,0.7742402315484804
758,649,32,1,147,21,2,11,2,73,10,1,5,1,0,128,3,56,3,1,497,0.765793528505393
759,675,39,0,149,15,0,13,3,75,10,2,20,2,1,115,3,54,4,0,505,0.7481481481481481
760,824,39,2,169,9,4,27,3,106,10,3,22,1,1,111,0,137,6,1,651,0.7900485436893204
761,721,28,1,172,8,0,13,2,114,27,1,9,1,0,126,4,75,10,0,591,0.8196948682385575
762,1056,45,1,241,23,1,24,0,141,27,1,16,0,0,174,2,154,4,2,856,0.8106060606060606
763,699,33,0,178,26,0,5,2,81,15,0,9,3,0,137,3,61,2,0,555,0.7939914163090128
764,779,33,2,171,17,0,5,3,111,29,2,9,0,0,135,4,96,7,1,625,0.8023106546854942
765,730,36,1,171,13,0,8,5,89,12,5,4,1,3,159,1,59,5,1,573,0.7849315068493151
766,834,30,3,186,11,0,18,1,117,22,3,16,7,2,91,2,140,5,0,654,0.7841726618705036
767,767,29,2,166,15,0,13,5,76,19,2,3,0,1,138,2,59,4,1,535,0.6975228161668839
768,865,27,1,192,25,1,23,4,93,17,5,8,3,2,140,2,107,8,0,658,0.7606936416184971
769,672,41,2,152,14,0,14,3,59,9,1,11,3,0,146,2,45,1,1,504,0.75
770,735,33,2,162,11,1,21,4,135,15,3,17,0,1,84,3,117,6,1,616,0.8380952380952381
771,771,26,5,137,11,0,23,3,127,18,1,20,1,1,115,1,120,4,1,614,0.7963683527885862
772,846,14,5,155,19,3,25,3,123,13,0,18,1,0,142,4,121,4,1,651,0.7695035460992907
773,741,35,2,159,13,1,15,8,106,21,2,17,1,2,122,3,88,6,0,601,0.8110661268556005
774,702,13,3,134,7,2,16,0,103,16,3,24,2,1,109,1,96,4,0,534,0.7606837606837606
775,566,20,2,95,4,0,17,0,104,22,5,17,1,0,91,0,83,12,0,473,0.8356890459363958
776,560,20,0,82,4,0,22,1,100,13,0,22,0,0,56,0,125,11,0,456,0.8142857142857143
777,290,8,4,48,3,0,7,0,49,8,1,1,1,0,27,2,73,8,1,241,0.8310344827586207
778,250,3,1,32,0,0,3,2,34,2,1,2,0,0,11,6,27,5,0,129,0.516
779,665,5,0,76,4,2,21,5,146,20,0,31,0,0,74,4,131,4,2,525,0.7894736842105263
780,649,20,0,120,5,0,20,3,101,23,1,23,0,1,78,3,127,3,0,528,0.8135593220338984
781,504,10,3,84,6,0,21,2,84,13,1,23,1,0,48,0,113,6,0,415,0.8234126984126984
782,487,10,2,72,4,0,17,1,86,15,1,26,2,1,50,4,114,4,0,409,0.839835728952772
783,271,7,0,36,1,0,13,0,51,6,1,10,2,0,28,0,67,2,0,224,0.8265682656826568
784,666,31,5,160,14,2,11,2,71,23,3,24,3,0,93,3,101,2,0,548,0.8228228228228228
785,710,36,3,133,6,1,23,2,90,23,2,31,5,0,98,3,108,5,0,569,0.8014084507042254
786,548,19,1,104,10,0,17,0,72,14,2,16,0,1,116,2,95,2,0,471,0.8594890510948905
787,761,16,6,185,20,0,6,5,81,21,3,7,0,0,157,5,61,10,0,583,0.7660972404730617
788,699,21,2,141,21,0,13,3,93,11,1,6,4,2,130,5,53,2,2,510,0.7296137339055794
789,723,17,3,192,17,0,10,4,86,13,1,1,1,0,120,4,56,10,2,537,0.7427385892116183
790,778,13,7,172,7,0,20,6,117,14,1,8,0,0,144,8,81,12,1,611,0.7853470437017995
791,730,23,3,143,13,0,20,4,111,15,2,3,1,0,167,6,41,7,0,559,0.7657534246575343
792,802,35,5,184,17,0,12,6,98,11,2,2,0,1,153,4,36,10,2,578,0.7206982543640897
793,638,22,3,158,9,0,12,4,74,7,3,5,2,1,123,6,49,4,0,482,0.7554858934169278
794,655,18,4,174,11,0,2,3,69,6,1,1,0,2,138,3,34,2,1,469,0.716030534351145
795,686,37,6,149,13,0,12,5,86,19,1,5,1,1,143,3,43,4,1,529,0.7711370262390671
796,663,36,2,139,9,1,12,2,78,14,1,2,3,1,126,1,37,8,0,472,0.7119155354449472
797,776,25,6,176,21,0,13,2,82,12,2,7,1,0,178,4,35,8,1,573,0.7384020618556701
798,743,15,7,143,14,0,4,11,69,6,5,3,2,2,129,4,36,1,2,453,0.6096904441453567
799,653,19,18,164,24,1,10,2,78,12,1,3,2,0,129,2,47,4,1,517,0.7917304747320061
800,660,43,6,135,15,0,9,5,64,5,3,5,2,1,162,0,36,4,0,495,0.75
801,680,23,6,158,19,0,15,3,87,11,2,9,0,0,128,1,57,8,0,527,0.775
802,611,20,4,127,16,0,4,5,78,12,4,3,1,2,123,1,50,5,1,456,0.7463175122749591
803,799,21,10,184,34,1,12,3,92,13,2,5,0,1,200,0,43,4,1,626,0.7834793491864831
804,705,22,4,175,14,0,14,4,99,18,3,8,2,1,131,4,69,6,4,578,0.8198581560283688
805,686,28,2,148,16,0,15,3,100,8,3,4,2,0,106,0,77,6,0,518,0.7551020408163265
806,629,21,1,154,9,0,7,4,72,10,1,10,0,0,146,3,35,5,2,480,0.7631160572337043
807,804,22,8,134,9,0,3,11,76,12,6,5,2,1,133,1,38,3,4,468,0.582089552238806
808,1046,30,5,251,20,0,13,3,97,14,1,18,1,0,250,8,109,1,1,822,0.7858508604206501
809,658,14,1,150,7,0,5,1,134,13,5,7,1,0,96,5,53,8,0,500,0.7598784194528876
810,690,23,5,155,17,1,12,5,80,6,2,7,1,0,151,4,36,5,3,513,0.7434782608695653
811,703,16,1,133,11,0,30,4,112,14,1,11,0,1,101,0,111,8,0,554,0.7880512091038406
812,702,13,0,153,23,0,7,7,92,15,2,11,0,1,135,3,60,6,0,528,0.7521367521367521
813,616,16,2,118,7,0,7,8,86,11,1,4,2,1,122,1,64,3,1,454,0.737012987012987
814,640,34,1,140,11,0,7,3,75,6,3,6,2,4,134,2,35,2,2,467,0.7296875
815,778,23,0,161,18,1,25,2,125,28,3,10,0,1,113,2,99,5,1,617,0.7930591259640103
816,547,13,0,116,14,0,4,4,58,5,2,5,1,1,82,1,31,2,0,339,0.6197440585009141
817,585,19,1,132,10,0,5,8,63,11,3,9,1,1,117,3,60,2,1,446,0.7623931623931623
818,673,18,6,173,20,0,1,7,79,13,3,7,0,1,131,2,56,7,1,525,0.7800891530460624
819,701,21,0,141,14,1,2,4,100,20,3,4,2,2,140,0,35,2,2,493,0.703281027104137
820,664,27,0,155,9,0,7,7,82,11,0,1,1,0,123,3,48,5,0,479,0.7213855421686747
821,699,33,2,177,18,0,6,6,75,14,2,7,1,1,142,0,36,6,1,527,0.753934191702432
822,643,24,2,138,26,1,8,9,68,10,0,11,0,1,138,8,40,3,1,488,0.7589424572317263
823,704,24,0,145,30,1,5,3,88,19,2,3,2,0,127,0,56,8,2,515,0.7315340909090909
824,701,23,1,126,15,0,10,4,109,17,3,6,0,2,131,2,65,9,0,523,0.746077032810271
825,753,23,0,189,17,0,11,2,84,7,0,7,0,0,159,3,56,1,1,560,0.7436918990703851
826,678,17,0,191,12,0,9,5,86,10,2,4,1,0,131,2,54,5,1,530,0.7817109144542773
827,593,21,3,144,12,0,2,3,74,5,1,4,0,1,124,5,33,4,0,436,0.7352445193929174
828,669,16,2,164,10,0,23,3,81,24,0,19,3,1,86,6,99,14,0,551,0.8236173393124065
829,662,11,1,130,13,0,7,7,84,19,1,6,1,2,138,0,54,6,1,481,0.7265861027190332
830,761,22,3,200,13,1,19,4,79,20,6,12,1,0,150,1,76,6,1,614,0.8068331143232589
831,716,17,1,166,17,0,3,7,88,13,2,5,0,2,149,2,55,2,1,530,0.7402234636871509
832,582,27,0,143,13,0,6,2,66,15,0,3,1,0,91,2,57,4,0,430,0.738831615120275
833,639,13,0,118,13,0,6,2,104,10,1,2,0,0,138,0,47,4,1,459,0.7183098591549296
834,764,30,0,191,14,0,5,10,84,12,2,5,0,2,179,2,41,2,2,581,0.7604712041884817
835,809,31,0,174,17,1,6,4,93,15,1,6,0,1,160,1,57,2,0,569,0.7033374536464772
836,650,25,2,137,13,1,8,5,70,8,1,2,1,2,165,1,36,0,1,478,0.7353846153846154
837,692,15,4,166,15,1,15,3,80,10,1,6,1,0,129,1,56,8,1,512,0.7398843930635838
838,661,13,3,168,12,0,7,7,75,14,1,1,0,1,133,1,48,2,0,486,0.735249621785174
839,602,18,1,134,21,0,6,2,81,9,2,0,1,1,132,0,41,3,0,452,0.7508305647840532
840,595,25,1,126,5,1,7,5,73,19,2,1,1,1,120,1,33,6,3,430,0.7226890756302521
841,733,22,3,184,24,1,5,5,79,15,1,3,0,3,146,3,63,4,1,562,0.7667121418826739
842,867,28,6,207,21,0,9,3,90,19,5,9,2,1,172,0,90,7,4,673,0.776239907727797
843,763,22,0,181,18,1,15,10,76,10,1,3,0,2,177,3,41,3,0,563,0.7378768020969856
844,1013,40,6,228,32,2,11,8,101,18,4,3,1,0,202,2,69,5,1,733,0.7235932872655478
845,878,25,1,204,12,0,3,9,132,16,4,4,3,2,175,4,87,5,4,690,0.785876993166287
846,676,20,3,171,19,1,2,4,57,10,2,2,1,1,159,2,43,4,0,501,0.7411242603550295
847,751,30,1,170,20,0,10,2,102,14,2,8,3,0,168,5,47,4,1,587,0.7816245006657789
848,704,16,2,179,12,1,7,2,96,13,1,5,2,1,131,3,74,12,3,560,0.7954545454545454
849,655,16,1,164,9,0,7,6,100,2,1,5,2,1,139,4,39,3,1,500,0.7633587786259542
850,739,9,1,156,11,0,19,4,96,28,0,3,2,0,144,3,83,9,1,569,0.7699594046008119
851,742,27,2,157,9,0,13,4,115,12,0,2,2,1,136,1,93,11,0,585,0.7884097035040432
852,719,25,4,212,25,0,9,4,76,2,0,5,2,1,192,6,52,4,4,623,0.866481223922114
853,768,25,2,196,13,0,11,7,78,16,0,7,2,0,166,2,59,6,0,590,0.7682291666666666
854,724,22,4,190,15,0,7,8,84,24,0,0,0,0,152,0,57,7,2,572,0.7900552486187845
855,643,25,2,165,15,0,9,5,68,10,4,6,1,1,136,3,60,6,0,516,0.80248833592535
856,870,35,0,228,20,2,15,5,119,20,3,5,0,0,133,4,81,3,2,675,0.7758620689655172
857,724,23,0,193,21,2,8,6,95,13,2,8,1,0,153,2,53,3,4,587,0.8107734806629834
858,816,35,1,192,19,0,13,6,109,8,4,5,2,0,147,3,91,7,3,645,0.7904411764705882
859,744,21,3,176,19,0,10,3,115,13,1,2,3,0,152,3,74,3,0,598,0.803763440860215
860,779,30,2,194,13,1,14,4,103,15,2,10,2,1,159,4,71,5,1,631,0.810012836970475
861,740,21,2,195,6,1,7,6,97,9,1,2,1,1,175,0,51,8,0,583,0.7878378378378378
862,721,24,0,183,13,0,5,4,106,22,5,4,2,0,142,3,66,6,0,585,0.811373092926491
863,720,36,1,184,7,0,14,9,86,13,5,0,0,0,130,1,44,3,5,538,0.7472222222222222
864,764,21,1,205,20,0,9,7,89,13,2,4,0,0,157,1,62,8,1,600,0.7853403141361257
865,955,26,7,232,27,0,13,8,102,14,3,5,1,2,195,3,93,5,2,738,0.7727748691099476
866,700,31,0,184,14,0,3,8,61,14,1,7,0,1,157,3,44,2,1,531,0.7585714285714286
867,609,25,0,161,10,0,7,4,48,8,4,1,2,0,136,1,46,2,1,456,0.7487684729064039
868,600,18,1,119,16,0,8,8,66,6,1,1,0,0,133,1,30,2,0,410,0.6833333333333333
869,606,26,1,151,8,1,2,4,57,6,2,1,0,1,123,1,34,9,3,430,0.7095709570957096
870,696,19,0,121,10,0,7,5,71,4,0,1,1,2,154,3,17,0,3,418,0.6005747126436781
871,745,17,1,139,11,0,8,5,78,15,4,2,1,1,189,5,38,3,3,520,0.697986577181208
872,963,30,3,218,17,1,14,10,113,19,1,4,0,0,236,3,55,9,2,735,0.7632398753894081
873,543,16,0,101,8,0,7,8,75,7,0,1,0,0,147,1,28,4,1,404,0.7440147329650092
874,802,16,2,152,19,0,11,11,105,16,0,2,1,0,158,5,46,6,2,552,0.6882793017456359
875,506,7,2,61,1,0,7,3,76,5,1,1,4,2,83,1,11,3,1,269,0.5316205533596838
876,958,32,4,255,18,0,8,7,106,19,5,4,0,1,222,2,72,8,2,765,0.7985386221294363
877,477,21,0,119,13,0,9,1,50,12,1,5,0,1,102,2,43,9,1,389,0.8155136268343816
878,956,45,11,255,23,1,8,10,127,15,2,5,1,2,182,4,40,4,2,737,0.7709205020920502
879,913,26,0,217,10,0,10,9,111,1,5,9,0,0,224,3,58,3,0,686,0.7513691128148959
880,948,38,2,233,23,1,20,6,83,13,3,12,1,1,232,3,61,6,1,739,0.7795358649789029
881,752,18,1,126,7,0,11,2,56,5,4,3,1,0,193,5,59,7,3,501,0.6662234042553191
882,564,7,0,107,5,1,6,6,86,5,1,2,0,1,172,1,26,3,0,429,0.7606382978723404
883,714,23,1,161,9,0,4,6,86,9,0,4,0,2,136,2,46,2,0,491,0.6876750700280112
884,724,43,2,208,12,1,14,4,84,8,0,3,0,1,138,1,56,4,0,579,0.7997237569060773
885,690,28,2,159,20,1,4,4,86,11,2,2,2,2,169,7,28,4,2,533,0.7724637681159421
886,718,22,0,148,11,0,8,16,79,7,3,0,1,3,131,1,40,4,0,474,0.6601671309192201
887,422,14,3,96,4,1,5,8,55,7,1,1,0,1,89,1,36,2,0,324,0.7677725118483413
888,964,23,3,252,23,2,14,8,102,7,2,2,0,0,187,3,57,3,3,691,0.716804979253112
889,812,19,4,202,30,0,14,6,91,8,3,6,1,1,151,1,39,6,1,583,0.7179802955665024
890,686,17,0,168,16,2,4,9,90,5,2,0,1,2,139,3,31,3,0,492,0.717201166180758
891,774,33,4,181,17,0,5,4,102,11,2,2,1,0,188,1,47,1,1,600,0.7751937984496124
892,786,28,2,165,20,0,6,7,91,11,1,2,2,0,166,2,49,5,1,558,0.7099236641221374
893,720,28,1,153,15,0,11,5,73,17,4,3,0,1,161,4,48,8,2,534,0.7416666666666667
894,722,19,3,175,10,0,8,5,53,10,1,8,1,1,151,3,70,6,4,528,0.7313019390581718
895,861,28,4,237,14,1,11,4,69,21,2,9,3,1,170,1,78,4,0,657,0.7630662020905923
896,932,28,4,220,25,1,21,6,95,10,1,5,0,3,246,2,53,5,0,725,0.7778969957081545
897,745,32,4,155,10,0,1,4,67,5,6,1,5,2,160,4,36,3,2,497,0.6671140939597315
898,601,21,2,132,12,0,3,7,55,7,1,2,2,0,132,2,30,2,0,410,0.6821963394342762
899,645,22,1,116,12,0,3,7,85,3,2,0,0,0,149,5,32,5,2,444,0.6883720930232559
900,761,30,3,142,13,0,17,6,107,4,6,4,1,1,169,4,36,2,0,545,0.7161629434954008
901,616,18,0,154,14,1,3,7,61,13,2,2,3,1,144,0,31,1,2,457,0.7418831168831169
902,665,27,1,114,17,0,1,8,71,5,1,0,2,1,176,3,41,7,2,477,0.7172932330827068
903,610,18,1,133,12,0,4,8,53,4,1,3,0,1,152,6,31,2,0,429,0.7032786885245902
904,710,23,2,164,11,0,6,4,95,9,2,1,1,1,154,1,35,11,2,522,0.7352112676056338
905,709,20,1,167,15,1,7,6,67,11,4,7,0,1,167,1,38,4,2,519,0.7320169252468265
906,656,18,0,131,10,0,6,7,67,18,0,1,2,2,137,3,36,8,0,446,0.6798780487804879
907,788,35,0,220,21,0,8,2,94,17,1,3,0,0,183,3,67,6,0,660,0.8375634517766497
908,0,5,0,20,2,0,2,0,9,2,0,0,1,1,13,0,7,0,0,62,inf
909,0,2,1,37,5,0,5,3,16,7,1,1,0,2,22,1,6,3,1,113,inf
910,549,22,1,158,5,0,9,1,48,5,1,9,3,1,137,3,47,3,1,454,0.8269581056466302
911,0,2,0,65,4,0,3,5,20,4,2,1,0,2,31,0,12,3,2,156,inf
912,0,7,1,52,5,0,2,3,34,3,1,0,1,0,30,1,20,2,0,162,inf
913,820,15,2,178,20,0,21,3,103,16,5,5,1,0,169,3,84,7,0,632,0.7707317073170732
914,0,3,0,12,0,0,0,0,5,1,0,0,0,0,11,1,2,0,0,35,inf
915,0,2,0,22,0,0,1,0,9,1,1,0,0,0,8,0,5,0,0,49,inf
916,0,2,0,11,1,1,3,1,9,1,0,1,0,0,8,0,4,0,0,42,inf
917,0,0,1,56,4,0,1,4,22,6,1,0,1,0,20,1,5,1,0,123,inf
918,0,3,27,4,0,0,1,1,22,8,1,0,0,0,38,0,9,0,0,114,inf
919,0,4,0,26,4,0,0,0,14,4,0,1,0,0,26,1,10,0,0,90,inf
